pmid,citation_key,first_author,year,title,journal,volume,issue,pages,doi,exclusion_reason,reason_source,all_authors
39503943,Blum2025,"Blum, Moritz",2025,Symptom prevalence in patients with advanced heart failure and its association  with quality of life and activities of daily living,Qual Life Res,34,2,485-493,10.1007/s11136-024-03823-9,Baseline analysis,"Ignore03_NHLBI exclusion document, category headings","Blum, Moritz; McKendrick, Karen; Gelfman, Laura P; Goldstein, Nathan E"
30025937,Coats2018,"Coats, Heather",2018,"Quality of Communication and Trust in Patients With Serious Illness: An  Exploratory Study of the Relationships of Race/Ethnicity, Socioeconomic Status,  and Religiosity",J Pain Symptom Manage,56,4,530-540.e6,10.1016/j.jpainsymman.2018.07.005,Baseline analysis,"Ignore03_NHLBI exclusion document, category headings","Coats, Heather; Downey, Lois; Sharma, Rashmi K; Curtis, J Randall; Engelberg, Ruth A"
36271193,Cummings2023,"Cummings, Doyle M",2023,"Treatment Intensity, Prescribing Patterns, and Blood Pressure Control in Rural  Black Patients with Uncontrolled Hypertension",J Racial Ethn Health Disparities,10,5,2505-2512,10.1007/s40615-022-01431-2,Baseline analysis,"Ignore03_NHLBI exclusion document, category headings","Cummings, Doyle M; Adams, Alyssa; Patil, Shivajirao; Cherrington, Andrea; Halladay, Jacqueline R; Oparil, Suzanne; Soroka, Orysya; Ringel, Joanna Bryan; Safford, Monika M"
30707598,Gans2019,"Gans, Kim M",2019,Nutrition-Related Practices of Family Child Care Providers and Differences by  Ethnicity,Child Obes,15,3,167-184,10.1089/chi.2018.0083,Baseline analysis,"Ignore03_NHLBI exclusion document, category headings","Gans, Kim M; Tovar, Alison; Jiang, Qianxia; Mello, Jennifer; Dionne, Laura; Kang, Augustine; Mena, Noereem Z; Palomo, Vanessa; Risica, Patricia Markham"
34851731,Gans2022,"Gans, Kim M",2022,Physical Activity and Screen Time Practices of Family Child Care Providers: Do  They Meet Best Practice Guidelines?,Child Obes,18,4,281-290,10.1089/chi.2021.0094,Baseline analysis,"Ignore03_NHLBI exclusion document, category headings","Gans, Kim M; Jiang, Qianxia; Tovar, Alison; Kang, Augustine; McCardle, Meagan; Risica, Patricia M"
39975777,Gilbert2025,"Gilbert, Amanda",2025,Using the socioecological model to explore factors associated with obesity among  reproductive age women,Front Public Health,13,,1498450,10.3389/fpubh.2025.1498450,Baseline analysis,"Ignore03_NHLBI exclusion document, category headings","Gilbert, Amanda; Persaud, Alicia; Farabi, Sarah; Schwarz, Cindy; Haire-Joshu, Debra; Tabak, Rachel G"
34634512,Jeans2022,"Jeans, Matthew R",2022,"Comparison of School vs Home Breakfast Consumption with Cardiometabolic and  Dietary Parameters in Low-Income, Multiracial/Ethnic Elementary School-Aged  Children",J Acad Nutr Diet,122,4,833-847,10.1016/j.jand.2021.10.014,Baseline analysis,"Ignore03_NHLBI exclusion document, category headings","Jeans, Matthew R; Landry, Matthew J; Asigbee, Fiona M; Vandyousefi, Sarvenaz; Ghaddar, Reem; Bray, Molly S; Leidy, Heather J; Davis, Jaimie N"
34659829,Jiang2021,"Jiang, Qianxia",2021,Ethnic Differences in Family Childcare Providers' Nutrition- and Activity-Related  Attitudes and Barriers,J Obes,2021,,6697006,10.1155/2021/6697006,Baseline analysis,"Ignore03_NHLBI exclusion document, category headings","Jiang, Qianxia; Tovar, Alison; Risica, Patricia M; Cooksey Stowers, Kristen; Schwartz, Marlene; Lombardi, Caitlin; Kang, Augustine; Mena, Noereem Z; Gans, Kim M"
37441753,Jiang2023,"Jiang, Qianxia",2023,Effect of Applying Best Practices for Physical Activity and Screen Time to Family  Childcare Homes,Prev Chronic Dis,20,,E60,10.5888/pcd20.220325,Baseline analysis,"Ignore03_NHLBI exclusion document, category headings","Jiang, Qianxia; Risica, Patricia Markham; Tovar, Alison; Stowers, Kristen Cooksey; Schwartz, Marlene B; Lombardi, Caitlin; Alhassan, Sofiya; Gans, Kim M"
30016518,Marks2018,"Marks, Jennifer",2018,Networks for prevention in 19 communities at the start of a large-scale  community-based obesity prevention initiative,Transl Behav Med,8,4,575-584,10.1093/tbm/iby026,Baseline analysis,"Ignore03_NHLBI exclusion document, category headings","Marks, Jennifer; Sanigorski, Andrew; Owen, Brynle; McGlashan, Jaimie; Millar, Lynne; Nichols, Melanie; Strugnell, Claudia; Allender, Steven"
