paper_id,paper_id_note,source_institute,source_file,source_row,citation_raw,cite_key,matched_by,match_score,labeled,excluded,exclusion_reason,exclusion_reason_raw,power_correct,power_correct_raw,data_correct,data_correct_raw,review_category,review_category_raw,n_trt,n_levels,comment_levels,n_outer,n_2nd,n_3rd,n_4th,unit_rand,ind_samp_unit,restricted_rand_raw,icc,n_long,stepped_wedge_raw,data_done,data_should,data_comment,power_done,power_should,restricted_rand,stepped_wedge,source_note,source_doi,source_pmid,reason_source
RE9NAY8K,,NCI,GroundTruthDataNCI01.xlsx,1,"1. (Ailawadhi et al., 2020)",,author_year,100,1,1,not_group_randomized,not group randomized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4X4LV7H7,,NCI,GroundTruthDataNCI01.xlsx,2,"2. (Ansa et al., 2023)",,author_year,100,1,0,,,no,NO,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
HBD3Y6S2,,NCI,GroundTruthDataNCI01.xlsx,3,"3. (Arastu et al., 2020)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFJE8ALD,,NCI,GroundTruthDataNCI01.xlsx,4,"4. (Arredondo et al., 2022)",,author_year,100,1,0,,,no,NO,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
B3KTU9TU,,NCI,GroundTruthDataNCI01.xlsx,5,"5. (Arrossi et al., 2019)",,author_year,100,1,0,,,yes,YES,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
QHUGZ86T,,NCI,GroundTruthDataNCI01.xlsx,6,"6. (Asfar et al., 2021)",,author_year,100,1,1,duplicate_group_random_drop,random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDKM5E29,,NCI,GroundTruthDataNCI01.xlsx,7,"7. (Asfar et al., 2018)",,author_year,100,1,0,,,no,NO,no,NO,D,D,,,,,,,,,,,,,,,,,,,,,,,,
PJ3LJPS4,,NCI,GroundTruthDataNCI01.xlsx,8,"8. (Atlas et al., 2023)",,author_year,100,1,0,,,yes,YES,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
4T3I54L2,,NCI,GroundTruthDataNCI01.xlsx,9,"9. (Auvinen et al., 2024)",,author_year,100,1,1,baseline_only,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCPZNXV7,,NCI,GroundTruthDataNCI01.xlsx,10,"10. (Barrington & Beresford, 2019)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VGG3KIMT,,NCI,GroundTruthDataNCI01.xlsx,11,"11. (Bartels et al., 2024)",,author_year,100,1,1,baseline_only,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3H4J4BGD,,NCI,GroundTruthDataNCI01.xlsx,12,"12. (Basch et al., 2022)",,author_year,100,1,0,,,yes,YES,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
T46GFUVP,,NCI,GroundTruthDataNCI01.xlsx,13,"13. (Bauer et al., 2020)",,author_year,100,1,0,,,no,NO,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
RJD9XX6D,,NCI,GroundTruthDataNCI01.xlsx,14,"14. (Beck et al., 2019)",,author_year,100,1,0,,,yes,YES,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
8X3V8X64,,NCI,GroundTruthDataNCI01.xlsx,15,"15. (Bell-Brown et al., 2022)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6M6JS3W5,,NCI,GroundTruthDataNCI01.xlsx,16,"16. (Beresford et al., 2022)",,author_year,100,1,0,,,no,NO,no,NO,B,B,,,,,,,,,,,,,,,,,,,,,,,,
FPX2G3LA,,NCI,GroundTruthDataNCI01.xlsx,17,"17. (Berg et al., 2024)",,author_year,100,1,0,,,yes,YES,no,NO,C,C,,,,,,,,,,,,,,,,,,,,,,,,
I6KDJ44E,,NCI,GroundTruthDataNCI01.xlsx,18,"18. (Blinder et al., 2023)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCKQDWYQ,,NCI,GroundTruthDataNCI01.xlsx,19,"19. (Booker et al., 2020)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHVQQIX3,,NCI,GroundTruthDataNCI01.xlsx,20,"20. (Brewer et al., 2022)",,author_year,100,1,0,,,yes,YES,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
9PGIWTZJ,,NCI,GroundTruthDataNCI01.xlsx,21,"21. (Brooks et al., 2018)",,author_year,100,1,0,,,no,NO,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
ZH47UTGY,,NCI,GroundTruthDataNCI01.xlsx,22,"22. (Brown et al., 2019)",,author_year,100,1,0,,,no,NO,no,NO,D,D,,,,,,,,,,,,,,,,,,,,,,,,
LNE655AM,,NCI,GroundTruthDataNCI01.xlsx,23,"23. (Bui et al., 2023)",,author_year,100,1,0,,,no,NO,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
767M69JK,,NCI,GroundTruthDataNCI01.xlsx,24,"24. (Buro et al., 2023)",,author_year,100,1,1,implementation_study,implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFIAY6NV,,NCI,GroundTruthDataNCI01.xlsx,25,"25. (Cadet et al., 2021)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F9X8Z6SZ,,NCI,GroundTruthDataNCI01.xlsx,26,"26. (Calo et al., 2023)",,author_year,100,1,0,,,no,NO,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
VD74N4DN,,NCI,GroundTruthDataNCI01.xlsx,27,"27. (Carroll et al., 2024)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6UFMVCDF,,NCI,GroundTruthDataNCI01.xlsx,28,"28. (Castañeda et al., 2023)",,author_year,100,1,0,,,no,NO,no,NO,B,B,,,,,,,,,,,,,,,,,,,,,,,,
U7PLGE75,,NCI,GroundTruthDataNCI01.xlsx,29,"29. (Chalela et al., 2018)",,author_year,100,1,0,,,no,NO,no,NO,B,B,,,,,,,,,,,,,,,,,,,,,,,,
TGIBPA3M,,NCI,GroundTruthDataNCI01.xlsx,30,"30. (Chen et al., 2020)",,author_year,100,1,1,methods_paper,methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYUTRABV,,NCI,GroundTruthDataNCI01.xlsx,31,"31. (Choi et al., 2024)",,author_year,100,1,1,implementation_study,implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6Y7FJ56I,,NCI,GroundTruthDataNCI01.xlsx,32,"32. (Choi et al., 2020)",,author_year,100,1,1,qualitative_study,qualitative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WTLH8PPX,,NCI,GroundTruthDataNCI01.xlsx,33,"33. (Chu et al., 2021)",,author_year,100,1,0,,,no,NO,no,NO,B,B,,,,,,,,,,,,,,,,,,,,,,,,
XYJLRGVC,,NCI,GroundTruthDataNCI01.xlsx,34,"34. (Coats et al., 2018)",,author_year,100,1,1,baseline_only,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y65DB7TT,,NCI,GroundTruthDataNCI01.xlsx,35,"35. (Cohen et al., 2023)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TBFRUAMD,,NCI,GroundTruthDataNCI01.xlsx,36,"36. (Coronado et al., 2022)",,author_year,100,1,0,,,no,NO,no,NO,B,B,,,,,,,,,,,,,,,,,,,,,,,,
KJQKEW8Y,,NCI,GroundTruthDataNCI01.xlsx,37,"37. (Coronado et al., 2018)",,author_year,100,1,1,baseline_only,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7MHFEUZL,,NCI,GroundTruthDataNCI01.xlsx,38,"38. (Coury et al., 2024)",,author_year,100,1,1,implementation_study,implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERY25CXT,,NCI,GroundTruthDataNCI01.xlsx,39,"39. (Cramer et al., 2021)",,author_year,100,1,1,secondary_analysis,secondary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIZAETCG,,NCI,GroundTruthDataNCI01.xlsx,40,"40. (Crew et al., 2024)",,author_year,100,1,1,baseline_only,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR7JWN8H,,NCI,GroundTruthDataNCI01.xlsx,41,"41. (Cuaresma et al., 2018)",,author_year,100,1,0,,,yes,YES,yes,YES,A,A,,,,,,,,,,,,,,,,,,,,,,,,
