paper_id,set,flags,n_flags,chars,pages,chars_per_page,abstract_chars,title
2UM5FXLV,unlabelled,F3_NO_REFERENCES,1,44879,8,5610,2495,Male partner testing and sexual behaviour following provision of multiple HIV self-tests t
3D94JQV3,unlabelled,F2_MULTI_ARTICLE,1,81506,23,3544,2165,Health care providers' perspectives on delivering gender equity focused family planning pr
3L7C4W4M,unlabelled,F3_NO_REFERENCES,1,47407,8,5926,2374,Index participant characteristics and HIV assisted partner services efficacy in Kenya: res
3QSZDDKM,unlabelled,F3_NO_REFERENCES,1,45658,7,6523,2219,The efficacy and cost-effectiveness of a family-based economic empowerment intervention (S
537XY6CJ,unlabelled,F4_THIN_PER_PAGE,1,48770,31,1573,1420,Competing Effects of Indirect Protection and Clustering on the Power of Cluster-Randomized
67P4RDC7,unlabelled,F3_NO_REFERENCES,1,72128,13,5548,2373,"Spinning plates: livelihood mobility, household responsibility and anti-retroviral treatme"
6BGC43UM,unlabelled,F4_THIN_PER_PAGE,1,61164,41,1492,2936,"Effect of an Intervention to Promote Breastfeeding on Asthma, Lung Function, and Atopic Ec"
7U4A7DJX,unlabelled,F2_MULTI_ARTICLE,1,36495,8,4562,1800,Standard Precautions are for everyone: The role of HIV stigma and implications for nursing
8WAJWQ7J,unlabelled,F3_NO_REFERENCES,1,50771,9,5641,2371,Impact of SMS and peer navigation on retention in HIV care among adults in South Africa: r
9P27ITQQ,unlabelled,F3_NO_REFERENCES,1,46809,11,4255,1936,"Rationale, Design, and Patient Characteristics of a Cluster-Randomized Pragmatic Trial to "
A7JWJW43,unlabelled,F4_THIN_PER_PAGE,1,36713,28,1311,2203,Efficacy of Wolbachia-Infected Mosquito Deployments for the Control of Dengue.
AUCUKPB9,human_labelled,F2_MULTI_ARTICLE,1,41969,8,5246,1210,Barbershop Management of Hypertension in the African American Population: Pitfalls and Opp
BAXIEMAV,unlabelled,F2_MULTI_ARTICLE,1,83200,26,3200,2034,Do differentiated service delivery models for HIV treatment in sub-Saharan Africa save mon
C7QFVRM7,unlabelled,F3_NO_REFERENCES,1,60464,10,6046,2701,Pathways for reduction of HIV-related stigma: a model derived from longitudinal qualitativ
EQTH4X7Z,unlabelled,F2_MULTI_ARTICLE,1,77047,12,6421,2585,A systematic review of the engagement with social media-delivered interventions for improv
ERY25CXT,human_labelled,F3_NO_REFERENCES,1,13262,2,6631,1330,Impact of Walking School Bus Programs on Self-Efficacy and Outcome Expectations
F4X8P769,unlabelled,F3_NO_REFERENCES,1,49888,11,4535,2512,A cluster-randomized controlled trial of a combination HIV risk reduction and microfinance
F9X8Z6SZ,human_labelled,F4_THIN_PER_PAGE,1,54193,32,1694,1922,Increasing the adoption of evidence-based communication practices for HPV vaccination in p
G2HT8C7B,unlabelled,F3_NO_REFERENCES,1,39518,8,4940,2303,Economic evaluation of facility-based HIV self-testing among adult outpatients in Malawi.
GDGSLXJ9,unlabelled,F3_NO_REFERENCES,1,84619,16,5289,2488,Development of parallel measures to assess HIV stigma and discrimination among people livi
GSTMJS9Q,unlabelled,F2_MULTI_ARTICLE,1,60387,21,2876,1517,The arc of HIV epidemics in sub-Saharan Africa: new challenges with concentrating epidemic
GX655FV4,human_labelled,F4_THIN_PER_PAGE,1,53678,40,1342,1791,A protocol for a cluster randomized trial of care delivery models to improve the quality o
