paper_id,task,round,stratum
WPF7MUCV,exclusion,1,excluded
WCA66X4I,exclusion,1,survivor
P6QS3RSX,exclusion,1,excluded
65U9AYL7,exclusion,1,excluded
6XFGQN39,exclusion,1,survivor
UIB8ZYW3,exclusion,1,excluded
D24FD6G2,exclusion,1,survivor
3YMCRN5A,exclusion,1,excluded
V4KK3YW4,exclusion,1,excluded
2RDD8DGI,exclusion,1,survivor
6XSR8DVR,exclusion,1,excluded
DEN3TJZ5,exclusion,1,excluded
HPIL7WVW,exclusion,1,survivor
88XZGAZQ,exclusion,1,excluded
JPXXAFJZ,exclusion,1,excluded
7NYXSVAI,exclusion,1,survivor
FRK7DQLC,exclusion,1,excluded
KMRQTRP3,exclusion,1,survivor
GK558E5R,exclusion,1,excluded
W8PNS3ZQ,exclusion,1,excluded
5VWZPNEQ,exclusion,1,survivor
I6GH9T7T,exclusion,1,excluded
QEHREYLH,exclusion,1,excluded
MTLFVN94,exclusion,1,survivor
VZQD5RZ8,exclusion,1,excluded
D6FQ47HW,exclusion,1,excluded
ZETJJPRR,exclusion,1,survivor
SRGFMEL6,exclusion,1,excluded
CKEF67C5,exclusion,1,survivor
767M69JK,exclusion,1,excluded
U9LEIXXF,exclusion,1,excluded
C9P63S2B,exclusion,1,survivor
S47B3QEJ,exclusion,1,excluded
TYUTRABV,exclusion,1,excluded
2BDG7GVP,exclusion,1,survivor
FZB8IQSZ,exclusion,1,excluded
ZS5WVT7S,exclusion,1,excluded
BAABE7JM,exclusion,1,survivor
3MBN8DIA,exclusion,1,excluded
LGEECHQM,exclusion,1,survivor
F7UIGLIK,exclusion,1,excluded
NCY67FZ9,exclusion,1,excluded
UPVYYFVQ,exclusion,1,survivor
D29P9RKT,exclusion,1,excluded
TB7DEJ83,exclusion,1,excluded
XFPCQLGP,exclusion,1,survivor
ECH2D7BJ,exclusion,1,excluded
HA9IHJB6,exclusion,1,excluded
NQ4Y7FIA,exclusion,1,survivor
LD2EYF43,exclusion,1,excluded
BLWKH6C8,exclusion,2,survivor
S59FZ9BB,exclusion,2,excluded
IPP52WKG,exclusion,2,excluded
C69UAKKB,exclusion,2,survivor
YZ7GZ47B,exclusion,2,excluded
8X3V8X64,exclusion,2,excluded
FHVQQIX3,exclusion,2,survivor
6IYYT6CC,exclusion,2,excluded
V6LBW3SS,exclusion,2,excluded
