paper_id,token,task,round,status,decision,confidence,reasoning,promptbook_evidence,cited_rules,was_fenced,failure_kind,failure_case,detail,flagged_other_papers,raw_path,attempt,retry_eligible,terminal_status,power_decision,power_confidence,power_reasoning,power_promptbook_evidence,power_cited_rules,data_decision,data_confidence,data_reasoning,data_promptbook_evidence,data_cited_rules
WCA66X4I,52d7042ca419db5c,power_analysis,1,ok,no,0.72,"Clinics were stratified (rural/urban, Medicaid %) before randomization, but power calc only used ICC/design effect, not stratification correlation (P12).",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\52d7042ca419db5c.attempt1.jsonl,1,,,,,,,,,,,,
6XFGQN39,361f6378c64c7024,power_analysis,1,ok,no,0.75,"Clinicians stratified/matched by age and sex (restricted randomization) but power calc only uses ICC for clinician clustering, ignoring matching correlation.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\361f6378c64c7024.attempt1.jsonl,1,,,,,,,,,,,,
D24FD6G2,e0c0ceb1f7a7272a,power_analysis,1,ok,no,0.72,"Power calc assumes cluster size 1, an individual-level calculation with no ICC or design effect; clustering not properly accounted for.",P8,P8,False,,,,,results\04_classification\raw\power_analysis_v1_r1\e0c0ceb1f7a7272a.attempt1.jsonl,1,,,,,,,,,,,,
HPIL7WVW,47eb19461f356d3d,power_analysis,1,ok,no,0.65,"Randomization stratified by practice size (P10) but power calc only used ICC/design effect for clustering, no stratum correlation accounted (P12).",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\47eb19461f356d3d.attempt1.jsonl,1,,,,,,,,,,,,
KMRQTRP3,c287c6da684c7c35,power_analysis,1,ok,no,0.85,"Only states 90% power to detect 5pp difference; no ICC/design effect, no cluster count, no mention of constrained randomization accounted for.",P6,P6,False,,,,,results\04_classification\raw\power_analysis_v1_r1\c287c6da684c7c35.attempt1.jsonl,1,,,,,,,,,,,,
5VWZPNEQ,3629f275ee1b69cd,power_analysis,1,ok,no,0.72,"Power analysis accounts for clustering (8 clinics, ICC=0.05) but randomization was constrained by clinic size/region; that restriction correlation isn't incorporated.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\3629f275ee1b69cd.attempt1.jsonl,1,,,,,,,,,,,,
MTLFVN94,c9da926dcba2555b,power_analysis,1,ok,no,0.72,"ICC (0.08) used for clustering, but randomization stratified by province with no accounting for stratum correlation in sample size calc.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\c9da926dcba2555b.attempt1.jsonl,1,,,,,,,,,,,,
ZETJJPRR,ffc2324ebdf82d77,power_analysis,1,ok,no,0.85,No sample-size/power justification is presented in this manuscript; only ICC ranges reported post hoc for outcomes measured.,P6,P6,False,,,,,results\04_classification\raw\power_analysis_v1_r1\ffc2324ebdf82d77.attempt1.jsonl,1,,,,,,,,,,,,
CKEF67C5,8525098a30589138,power_analysis,1,ok,no,0.72,"Power calc used ICC=0.02, cluster count, effect size (clustering handled), but randomization was stratified by site/FTE with no adjustment for stratum correlation.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\8525098a30589138.attempt1.jsonl,1,,,,,,,,,,,,
C9P63S2B,b7fb7b4d66739816,power_analysis,1,ok,no,0.72,"CACs pair-matched by team size before randomization (P10), but power calc for primary outcome only uses ICC/design effect, not matching correlation (P12).",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\b7fb7b4d66739816.attempt1.jsonl,1,,,,,,,,,,,,
2BDG7GVP,84c082b77f9d7b5a,power_analysis,1,ok,no,0.9,No sample-size/power analysis reported at all in this manuscript; refers to design elsewhere without ICC/effect size/cluster count here.,P6,P6,False,,,,,results\04_classification\raw\power_analysis_v1_r1\84c082b77f9d7b5a.attempt1.jsonl,1,,,,,,,,,,,,
BAABE7JM,e50fc908a63b9e0f,power_analysis,1,ok,yes,0.72,"Clustering handled via ICC=0.1, m=5, design effect 1+(m-1)ρ=1.4; block randomization (equal sites/arm) with no covariate matching, so no restriction adjustment needed.",P7,P7,False,,,,,results\04_classification\raw\power_analysis_v1_r1\e50fc908a63b9e0f.attempt1.jsonl,1,,,,,,,,,,,,
LGEECHQM,d545e2f4fc5d2e65,power_analysis,1,ok,yes,0.62,"ICC=0.01 specified, cluster-based design via Thompson et al.'s paired cluster RCT formula, which incorporates matching correlation for dorm pairs.",P7,P7,False,,,,,results\04_classification\raw\power_analysis_v1_r1\d545e2f4fc5d2e65.attempt1.jsonl,1,,,,,,,,,,,,
XFPCQLGP,b448ee6d72a14a9f,power_analysis,1,ok,no,0.75,Sample size uses ICC and cluster count (clustering handled) but pair-matching by rural/urban is not reflected in the calculation.,P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\b448ee6d72a14a9f.attempt1.jsonl,1,,,,,,,,,,,,
NQ4Y7FIA,66d3f8b992f92766,power_analysis,1,ok,no,0.9,No power analysis reported in this manuscript; sample size justification absent entirely.,P6,P6,False,,,,,results\04_classification\raw\power_analysis_v1_r1\66d3f8b992f92766.attempt1.jsonl,1,,,,,,,,,,,,
BLWKH6C8,cb3a5b17641dd5c0,power_analysis,1,ok,yes,0.75,"Simulation-based power used exchangeable correlation (ICC=0.07) within clinician clusters, GEE, cluster count specified. No restricted randomization present.",P7,P7,False,,,,,results\04_classification\raw\power_analysis_v1_r1\cb3a5b17641dd5c0.attempt1.jsonl,1,,,,,,,,,,,,
C69UAKKB,cf14a6ea26bfd1cf,power_analysis,1,ok,no,0.72,"Sites were matched into pairs on covariates (P10), but power calc only used ICC=0.10 with no matching correlation adjustment—restriction ignored while clustering handled (P12).",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\cf14a6ea26bfd1cf.attempt1.jsonl,1,,,,,,,,,,,,
FHVQQIX3,f54980e668138138,power_analysis,1,ok,yes,0.78,"Power analysis specifies clusters (16 churches), ICC=0.01, and CV of cluster sizes=0.50, satisfying clustering requirements. No restricted randomization present (balanced only by size).",P7,P7,False,,,,,results\04_classification\raw\power_analysis_v1_r1\f54980e668138138.attempt1.jsonl,1,,,,,,,,,,,,
4GUDDLNQ,6425305c44332041,power_analysis,1,ok,no,0.68,Power calc used autocorrelation between school means (clustering) but design was block-randomized (block size=4); no accounting for restriction-induced correlation.,P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\6425305c44332041.attempt1.jsonl,1,,,,,,,,,,,,
B3KTU9TU,b2caec83ff3c6aa3,power_analysis,1,ok,no,0.72,"ICC 0.10 accounts for CHW clustering, but randomization was stratified by gender/urban-rural with no adjustment for induced stratum correlation in the power calc.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\b2caec83ff3c6aa3.attempt1.jsonl,1,,,,,,,,,,,,
WY9D5UIK,57743291d7ac1932,power_analysis,1,ok,yes,0.72,"Sample size uses effect size, ICC via design effect of 2, and cluster count (6); no restricted randomization (simple 3v3 random allocation) to account for.",P7,P7,False,,,,,results\04_classification\raw\power_analysis_v1_r1\57743291d7ac1932.attempt1.jsonl,1,,,,,,,,,,,,
SGCHKJTH,52df9b78c620d672,power_analysis,1,ok,no,0.85,"No power/sample size justification described in this manuscript; refers to prior protocol paper only, and matched-pair design not addressed.",P6,P6,False,,,,,results\04_classification\raw\power_analysis_v1_r1\52df9b78c620d672.attempt1.jsonl,1,,,,,,,,,,,,
DFJE8ALD,982c42d9a13b5f8c,power_analysis,1,ok,no,0.72,"Power analysis used ICC=0.05 with 16 clusters (clustering handled), but churches were stratified by size before randomization and stratum correlation not accounted for.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\982c42d9a13b5f8c.attempt1.jsonl,1,,,,,,,,,,,,
9LTSBSEE,02df2544984b0cb0,power_analysis,1,ok,no,0.6,"No sample size/power calculation with ICC, effect size, cluster count given; only mentions >90% power to detect 5pp difference with design effect ~2, no derivation shown.",P5,P5,False,,,,,results\04_classification\raw\power_analysis_v1_r1\02df2544984b0cb0.attempt1.jsonl,1,,,,,,,,,,,,
IPR6QU8P,66bc5344865d7182,power_analysis,1,ok,no,0.85,"Sample size/power calc explicitly deferred to prior protocol paper (ref 19), not described in this manuscript, violating P2/P6.",P2,P2,False,,,,,results\04_classification\raw\power_analysis_v1_r1\66bc5344865d7182.attempt1.jsonl,1,,,,,,,,,,,,
SH5J2R2J,c132213e1d024c3d,power_analysis,1,ok,no,0.75,"Schools matched pairs & stratified by site (restricted randomization), but sample size only used ICC/VIF for clustering, no matching correlation adjustment.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\c132213e1d024c3d.attempt1.jsonl,1,,,,,,,,,,,,
UHEKLJLC,2c735c5e5ac78638,power_analysis,1,ok,no,0.75,Power calc uses ICC=0.05 (clustering handled) but randomization was matched on RUCA/catchment/interventionist; matching correlation not addressed.,P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\2c735c5e5ac78638.attempt1.jsonl,1,,,,,,,,,,,,
TGSIADX6,b57cdae87ba69d35,power_analysis,1,ok,no,0.75,"Constrained/covariate-balanced randomization was used (P10) but power calc only used ICC for clustering, no correlation adjustment for restriction (P12).",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\b57cdae87ba69d35.attempt1.jsonl,1,,,,,,,,,,,,
BR4Y6FSS,d556d69856a2357c,power_analysis,1,ok,no,0.9,"Sample size calc used individual-level formula (Charan & Biswas) with proportions only; no ICC, design effect, or cluster count reported.",P8,P8,False,,,,,results\04_classification\raw\power_analysis_v1_r1\d556d69856a2357c.attempt1.jsonl,1,,,,,,,,,,,,
26LDPI8G,89c10d372dc2a311,power_analysis,1,ok,no,0.75,"ICC and cluster size CV used for clustering, but restricted randomization (stratified by clinic size/baseline screening) not incorporated into power calc.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\89c10d372dc2a311.attempt1.jsonl,1,,,,,,,,,,,,
7M6ST2JQ,640a4c8248ea51b6,power_analysis,1,ok,yes,0.55,"Teens, not schools, were randomized (stratified by school), so no cluster-level correlation applies; ICC 0.3-0.4 addresses repeated measures, correctly handled per P17.",P17,P17,False,,,,,results\04_classification\raw\power_analysis_v1_r1\640a4c8248ea51b6.attempt1.jsonl,1,,,,,,,,,,,,
L8CPLJYW,82afa061a90c9c8b,power_analysis,1,ok,no,0.72,"Clustering handled via ICC/Monte Carlo simulation, but randomization was stratified by population size with no accounting for stratum correlation in power calc.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\82afa061a90c9c8b.attempt1.jsonl,1,,,,,,,,,,,,
TBFRUAMD,1dde6d6489b6cf5c,power_analysis,1,ok,no,0.75,"Randomization was stratified by health system, but power calc only uses ICC/cluster size, ignoring stratification-induced correlation.",P12,P12,False,,,,,results\04_classification\raw\power_analysis_v1_r1\1dde6d6489b6cf5c.attempt1.jsonl,1,,,,,,,,,,,,
BW2B5H9P,eaafddb0becf82e2,power_analysis,1,ok,no,0.85,"Sample size gives 88% power for 4mmHg difference with n=480 individuals, no ICC, design effect, or cluster count used—individual-level calculation ignoring clustering.",P8,P8,False,,,,,results\04_classification\raw\power_analysis_v1_r1\eaafddb0becf82e2.attempt1.jsonl,1,,,,,,,,,,,,
DCYTWR4N,5dd036f4e179de29,power_analysis,1,ok,no,0.9,"No sample size/power justification described anywhere in manuscript; absent, not undecidable.",P6,P6,False,,,,,results\04_classification\raw\power_analysis_v1_r1\5dd036f4e179de29.attempt1.jsonl,1,,,,,,,,,,,,
