task,split,paper_id,promptbook_version,judgment_index,pass_name,model_used,truth,decision,confidence,status,outcome,reasoning,promptbook_evidence,run_id,response_id,configuration_fingerprint,configuration_source,effort,route,transport
exclusion,build,25GIEATL,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,25SMNHQG,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,26LDPI8G,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,28SJBT73,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,2BDG7GVP,v1,1,primary,claude-sonnet-5,no,no,0.9,scored,true_negative,Group-randomized trial (16 schools) with primary outcome (SBP participation change) and quantitative treatment effect estimate; no exclusion criteria apply.,E5,,,,,,,
exclusion,build,2EQE8HSV,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,2HLT4Y2J,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,2LUUC2WH,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,2NRLZW3M,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,2RDD8DGI,v1,1,primary,claude-sonnet-5,no,no,0.9,scored,true_negative,"Group-randomized RCT (neighborhood site as cluster), reports primary outcome (6-month abstinence) with quantitative treatment effects. No exclusion criteria apply.",E10,,,,,,,
exclusion,build,2UPNUCNS,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,32LERLVS,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,34PR6YXH,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,3DSAACUW,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,3ETDUWRH,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,3H4J4BGD,v1,,,,no,,,missing,missing,,,,,,,,,
exclusion,build,3I2K6X84,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,3INBZHKN,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,3MBN8DIA,v1,1,primary,claude-sonnet-5,yes,yes,0.97,scored,true_positive,"This is a letter to the editor commenting on another study, not a study report itself.",E16,,,,,,,
exclusion,build,3SUSMNR7,v1,,,,yes,,,missing,missing,,,,,,,,,
exclusion,build,3YMCRN5A,v1,1,primary,claude-sonnet-5,yes,yes,0.9,scored,true_positive,Qualitative IDI study nested in larger cluster RCT; main outcomes reported elsewhere; no quantitative treatment-effect estimate here.,E11,,,,,,,
