task,split,promptbook_version,configuration_status,bin_lower,bin_upper,n,mean_confidence,empirical_accuracy,calibration_gap
exclusion,build,v1,unprovenanced_legacy,0.6,0.7,1,0.62,1,-0.38
exclusion,build,v1,unprovenanced_legacy,0.7,0.8,3,0.74,0.3333,0.4067
exclusion,build,v1,unprovenanced_legacy,0.8,0.9,9,0.85,0.7778,0.0722
exclusion,build,v1,unprovenanced_legacy,0.9,1.0,35,0.9409,0.9714,-0.0306
power_analysis,build,v1,comparable,0.5,0.6,1,0.55,0,0.55
power_analysis,build,v1,comparable,0.6,0.7,6,0.6317,0.8333,-0.2017
power_analysis,build,v1,comparable,0.7,0.8,30,0.735,0.7667,-0.0317
power_analysis,build,v1,comparable,0.8,0.9,8,0.85,0.875,-0.025
power_analysis,build,v1,comparable,0.9,1.0,4,0.9,1,-0.1
data_analysis,build,v1,comparable,0.5,0.6,3,0.55,1,-0.45
data_analysis,build,v1,comparable,0.6,0.7,14,0.6307,0.7857,-0.155
data_analysis,build,v1,comparable,0.7,0.8,20,0.738,0.8,-0.062
data_analysis,build,v1,comparable,0.8,0.9,1,0.85,1,-0.15
data_analysis,build,v1,comparable,0.9,1.0,2,0.925,1,-0.075
