task,split,promptbook_version,configuration_status,threshold,confidence_n,low_confidence_n,low_confidence_rate,retained_n,retained_accuracy,retained_sensitivity,retained_specificity
exclusion,build,v1,unprovenanced_legacy,0.5,48,0,0.0,48,0.8958,1.0,0.7059
exclusion,build,v1,unprovenanced_legacy,0.55,48,0,0.0,48,0.8958,1.0,0.7059
exclusion,build,v1,unprovenanced_legacy,0.6,48,0,0.0,48,0.8958,1.0,0.7059
exclusion,build,v1,unprovenanced_legacy,0.65,48,1,0.0208,47,0.8936,1.0,0.6875
exclusion,build,v1,unprovenanced_legacy,0.7,48,1,0.0208,47,0.8936,1.0,0.6875
exclusion,build,v1,unprovenanced_legacy,0.75,48,2,0.0417,46,0.913,1.0,0.7333
exclusion,build,v1,unprovenanced_legacy,0.8,48,4,0.0833,44,0.9318,1.0,0.7857
exclusion,build,v1,unprovenanced_legacy,0.85,48,4,0.0833,44,0.9318,1.0,0.7857
exclusion,build,v1,unprovenanced_legacy,0.9,48,13,0.2708,35,0.9714,1.0,0.875
exclusion,build,v1,unprovenanced_legacy,0.95,48,28,0.5833,20,0.95,1.0,0.0
power_analysis,build,v1,comparable,0.5,49,0,0.0,49,0.7959,0.375,0.878
power_analysis,build,v1,comparable,0.55,49,0,0.0,49,0.7959,0.375,0.878
power_analysis,build,v1,comparable,0.6,49,1,0.0204,48,0.8125,0.375,0.9
power_analysis,build,v1,comparable,0.65,49,5,0.102,44,0.8182,0.375,0.9167
power_analysis,build,v1,comparable,0.7,49,7,0.1429,42,0.8095,0.375,0.9118
power_analysis,build,v1,comparable,0.75,49,23,0.4694,26,0.8846,0.6,0.9524
power_analysis,build,v1,comparable,0.8,49,37,0.7551,12,0.9167,0.0,1.0
power_analysis,build,v1,comparable,0.85,49,37,0.7551,12,0.9167,0.0,1.0
power_analysis,build,v1,comparable,0.9,49,45,0.9184,4,1.0,,1.0
power_analysis,build,v1,comparable,0.95,49,49,1.0,0,,,
data_analysis,build,v1,comparable,0.5,40,0,0.0,40,0.825,0.2,0.9143
data_analysis,build,v1,comparable,0.55,40,0,0.0,40,0.825,0.2,0.9143
data_analysis,build,v1,comparable,0.6,40,3,0.075,37,0.8108,0.2,0.9062
data_analysis,build,v1,comparable,0.65,40,13,0.325,27,0.8148,0.0,0.88
data_analysis,build,v1,comparable,0.7,40,17,0.425,23,0.8261,0.0,0.8636
data_analysis,build,v1,comparable,0.75,40,27,0.675,13,0.8462,0.0,0.9167
data_analysis,build,v1,comparable,0.8,40,37,0.925,3,1.0,,1.0
data_analysis,build,v1,comparable,0.85,40,37,0.925,3,1.0,,1.0
data_analysis,build,v1,comparable,0.9,40,38,0.95,2,1.0,,1.0
data_analysis,build,v1,comparable,0.95,40,39,0.975,1,1.0,,1.0
