paper_id,token,task,round,promptbook_version,model,attempt,exit_code,duration_seconds,raw_path,started_at
KMRQTRP3,a5689ca7b2d7c790,data_analysis,1,v1,claude-sonnet-5,1,0,7.58,results\04_classification\raw\data_analysis_r1\a5689ca7b2d7c790.attempt1.jsonl,2026-08-28T15:21:03+00:00
HPIL7WVW,2ec0f10d7cf6513e,data_analysis,1,v1,claude-sonnet-5,1,0,8.34,results\04_classification\raw\data_analysis_r1\2ec0f10d7cf6513e.attempt1.jsonl,2026-08-28T15:21:04+00:00
2RDD8DGI,d1f47a97976aa5a5,data_analysis,1,v1,claude-sonnet-5,1,0,10.08,results\04_classification\raw\data_analysis_r1\d1f47a97976aa5a5.attempt1.jsonl,2026-08-28T15:21:06+00:00
WCA66X4I,13ea1876b5f79573,data_analysis,1,v1,claude-sonnet-5,1,0,13.56,results\04_classification\raw\data_analysis_r1\13ea1876b5f79573.attempt1.jsonl,2026-08-28T15:21:09+00:00
MTLFVN94,7fd0cd12ba343d5a,data_analysis,1,v1,claude-sonnet-5,1,0,6.53,results\04_classification\raw\data_analysis_r1\7fd0cd12ba343d5a.attempt1.jsonl,2026-08-28T15:21:11+00:00
6XFGQN39,306b64d923b75017,data_analysis,1,v1,claude-sonnet-5,1,0,16.58,results\04_classification\raw\data_analysis_r1\306b64d923b75017.attempt1.jsonl,2026-08-28T15:21:12+00:00
ZETJJPRR,c87859a90e74184a,data_analysis,1,v1,claude-sonnet-5,1,0,8.84,results\04_classification\raw\data_analysis_r1\c87859a90e74184a.attempt1.jsonl,2026-08-28T15:21:15+00:00
5VWZPNEQ,408799ec77e427ae,data_analysis,1,v1,claude-sonnet-5,1,0,11.34,results\04_classification\raw\data_analysis_r1\408799ec77e427ae.attempt1.jsonl,2026-08-28T15:21:15+00:00
D24FD6G2,2fe70351255d3869,data_analysis,1,v1,claude-sonnet-5,1,0,22.88,results\04_classification\raw\data_analysis_r1\2fe70351255d3869.attempt1.jsonl,2026-08-28T15:21:19+00:00
C9P63S2B,5d48f6e3c2caa90e,data_analysis,1,v1,claude-sonnet-5,1,0,9.59,results\04_classification\raw\data_analysis_r1\5d48f6e3c2caa90e.attempt1.jsonl,2026-08-28T15:21:20+00:00
2BDG7GVP,0d9cb23655c966b6,data_analysis,1,v1,claude-sonnet-5,1,0,8.28,results\04_classification\raw\data_analysis_r1\0d9cb23655c966b6.attempt1.jsonl,2026-08-28T15:21:21+00:00
CKEF67C5,2237126b7edaf702,data_analysis,1,v1,claude-sonnet-5,1,0,12.48,results\04_classification\raw\data_analysis_r1\2237126b7edaf702.attempt1.jsonl,2026-08-28T15:21:22+00:00
XFPCQLGP,3e395228ccfee314,data_analysis,1,v1,claude-sonnet-5,1,0,9.09,results\04_classification\raw\data_analysis_r1\3e395228ccfee314.attempt1.jsonl,2026-08-28T15:21:29+00:00
BAABE7JM,f1f425e327ed80a5,data_analysis,1,v1,claude-sonnet-5,1,0,16.62,results\04_classification\raw\data_analysis_r1\f1f425e327ed80a5.attempt1.jsonl,2026-08-28T15:21:31+00:00
NQ4Y7FIA,27f566bd445e038c,data_analysis,1,v1,claude-sonnet-5,1,0,10.91,results\04_classification\raw\data_analysis_r1\27f566bd445e038c.attempt1.jsonl,2026-08-28T15:21:32+00:00
