paper_id,token,task,round,stratum,chars,text_notes,outcome,detail,attempt,exit_code,duration_seconds,request_id,session_id,claude_code_version,reported_model,duration_ms,duration_api_ms,ttft_ms,num_turns,stop_reason,terminal_reason,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,billed_input_tokens,total_cost_usd,service_tier,speed,inference_geo,fast_mode_state,context_window,max_output_tokens,permission_denials
KMRQTRP3,a5689ca7b2d7c790,data_analysis,1,survivor,44409,,ok,,1,0,7.58,req_011CeVNcaoRFunVBWsxHCVKC,fa3ca7f5-c8de-4f2e-95d1-37f626aaddff,2.1.197,claude-sonnet-5,6054,7381,4848,1,end_turn,completed,1,551,0,21626,21627,0.15401099999999998,standard,standard,,off,,,0
HPIL7WVW,2ec0f10d7cf6513e,data_analysis,1,survivor,56905,,ok,,1,0,8.34,req_011CeVNcaofeX2czPAFWCuiD,1dade5ab-a1c9-4671-94cd-533e318de4ac,2.1.197,claude-sonnet-5,6881,8227,5965,1,end_turn,completed,1,604,0,28670,28671,0.202818,standard,standard,,off,,,0
2RDD8DGI,d1f47a97976aa5a5,data_analysis,1,survivor,46963,,ok,,1,0,10.08,req_011CeVNcaucpFzAwqKy3QNRc,4ac221db-60b9-4e4f-9e3a-3c3891725697,2.1.197,claude-sonnet-5,8572,9632,8044,1,end_turn,completed,1,800,0,24016,24017,0.174346,standard,standard,,off,,,0
WCA66X4I,13ea1876b5f79573,data_analysis,1,survivor,89104,,ok,,1,0,13.56,req_011CeVNcb3oFvW34NQHeqTfC,c071fb98-5e44-46d9-9d4b-6fadef0c386b,2.1.197,claude-sonnet-5,12028,13199,11577,1,end_turn,completed,1,1123,0,38894,38895,0.277977,standard,standard,,off,,,0
MTLFVN94,7fd0cd12ba343d5a,data_analysis,1,survivor,53920,,ok,,1,0,6.53,req_011CeVNdCeBwVfkPkvk8q99o,bd6b27eb-7a32-42e9-8a72-3b3ab7594996,2.1.197,claude-sonnet-5,5123,6403,4130,1,end_turn,completed,1,433,0,26066,26067,0.182693,standard,standard,,off,,,0
6XFGQN39,306b64d923b75017,data_analysis,1,survivor,72091,,ok,,1,0,16.58,req_011CeVNcartmFtJrdzRix98J,57adbdf1-a271-4f46-b0a1-7fb575829130,2.1.197,claude-sonnet-5,15180,16426,14746,1,end_turn,completed,1,1432,0,30858,30859,0.229439,standard,standard,,off,,,0
ZETJJPRR,c87859a90e74184a,data_analysis,1,survivor,46952,,ok,,1,0,8.84,req_011CeVNdKtWJTm6DFMKtbvgM,cbee853c-f6de-40de-a25f-20e44a9c81c8,2.1.197,claude-sonnet-5,7218,8424,6353,1,end_turn,completed,1,531,0,22879,22880,0.16267,standard,standard,,off,,,0
5VWZPNEQ,408799ec77e427ae,data_analysis,1,survivor,90307,,ok,,1,0,11.34,req_011CeVNd97rsqVGXMP6JLZ5u,8fe46c73-be34-4147-86c1-29606058bf93,2.1.197,claude-sonnet-5,9696,10874,9092,1,end_turn,completed,1,811,0,38750,38751,0.272233,standard,standard,,off,,,0
D24FD6G2,2fe70351255d3869,data_analysis,1,survivor,50885,,ok,,1,0,22.88,req_011CeVNcau7yPYzmBP1gGuqt,7390f5d0-90d8-47b2-9f17-aa22d13f7114,2.1.197,claude-sonnet-5,21439,23062,20730,1,end_turn,completed,1,2031,0,24574,24575,0.19643,standard,standard,,off,,,0
C9P63S2B,5d48f6e3c2caa90e,data_analysis,1,survivor,79760,,ok,,1,0,9.59,req_011CeVNdg4wttw8q1pxyucLM,d02b5e1e-e210-430e-9797-ea4864d27ca9,2.1.197,claude-sonnet-5,8261,9451,7375,1,end_turn,completed,1,743,0,36922,36923,0.26046,standard,standard,,off,,,0
2BDG7GVP,0d9cb23655c966b6,data_analysis,1,survivor,44081,,ok,,1,0,8.28,req_011CeVNdnwwVtXfvR2KC1odL,608fb211-d42b-4a5c-9044-b0cd85b39986,2.1.197,claude-sonnet-5,6931,8074,6096,1,end_turn,completed,1,651,0,20391,20392,0.14739000000000002,standard,standard,,off,,,0
CKEF67C5,2237126b7edaf702,data_analysis,1,survivor,52817,,ok,,1,0,12.48,req_011CeVNdaijN9F6H7p3ykPfe,2a89b187-91b3-4f8b-85dc-50f5aef51339,2.1.197,claude-sonnet-5,10987,12426,10171,1,end_turn,completed,1,1060,0,25236,25237,0.18628,standard,standard,,off,,,0
XFPCQLGP,3e395228ccfee314,data_analysis,1,survivor,57974,,ok,,1,0,9.09,req_011CeVNePGgUdQoDPb21TjHQ,b6c4b92f-75f5-43ed-921a-e6241afc0047,2.1.197,claude-sonnet-5,7747,9218,7025,1,end_turn,completed,1,653,0,28658,28659,0.203822,standard,standard,,off,,,0
BAABE7JM,f1f425e327ed80a5,data_analysis,1,survivor,45709,,ok,,1,0,16.62,req_011CeVNdyXgVcpVt4drLkziA,945296f7-c279-477e-adbd-70f36b0a94fb,2.1.197,claude-sonnet-5,15366,16395,13976,1,end_turn,completed,1,1420,0,21182,21183,0.16377499999999998,standard,standard,,off,,,0
NQ4Y7FIA,27f566bd445e038c,data_analysis,1,survivor,113178,,ok,,1,0,10.91,req_011CeVNeQJCdUEzBP2gTC7mm,390d504f-793f-4a5b-b276-1d0cf0f9397a,2.1.197,claude-sonnet-5,9644,11127,8924,1,end_turn,completed,1,718,0,45991,45992,0.32093999999999995,standard,standard,,off,,,0
4GUDDLNQ,0d558e0506ae8f18,data_analysis,1,survivor,75461,,ok,,1,0,7.86,req_011CeVNfCxr66M8eo2Ze8QQb,f823c765-1b2f-44b6-96b5-51b69e41f451,2.1.197,claude-sonnet-5,6612,7988,5909,1,end_turn,completed,1,537,0,35776,35777,0.25072500000000003,standard,standard,,off,,,0
LGEECHQM,69f00d076e84fc56,data_analysis,1,survivor,60076,,ok,,1,0,25.94,req_011CeVNdyWh44XQjnaxqdAkp,ebc58519-a2ff-46c0-9d7c-c6f15221015e,2.1.197,claude-sonnet-5,24697,26375,23993,1,end_turn,completed,1,2399,0,26983,26984,0.217585,standard,standard,,off,,,0
C69UAKKB,582bef741ddfb7f0,data_analysis,1,survivor,83781,,ok,,1,0,12.84,req_011CeVNf4ufDWgLCTSkavDoG,f8039ce4-3071-4009-a647-cb09c53e21ec,2.1.197,claude-sonnet-5,11254,12507,10492,1,end_turn,completed,1,930,0,38226,38227,0.27054,standard,standard,,off,,,0
BLWKH6C8,bf7bee3b070b5a78,data_analysis,1,survivor,54159,,ok,,1,0,22.36,req_011CeVNeXazoz2yrxSjnNCUS,750b24ef-e514-4c7a-9725-565be8cab6a2,2.1.197,claude-sonnet-5,20739,22045,19809,1,end_turn,completed,1,1840,0,25149,25150,0.19686399999999998,standard,standard,,off,,,0
WY9D5UIK,0e4674b4982c6432,data_analysis,1,survivor,26659,,ok,,1,0,4.12,req_011CeVNfwLGr3Rwjza5SpQUC,58ddb8f8-a058-4cc6-b59d-47f301973c41,2.1.197,claude-sonnet-5,2187,3306,2149,1,end_turn,completed,1,95,0,14375,14376,0.098622,standard,standard,,off,,,0
B3KTU9TU,c2ae50403d9efd69,data_analysis,1,survivor,55644,,ok,,1,0,8.2,req_011CeVNfoFMYLxouUiSUfhJM,a6033f11-9955-4069-a8dc-80ec711314b4,2.1.197,claude-sonnet-5,6614,7647,5855,1,end_turn,completed,1,569,0,25202,25203,0.17858299999999996,standard,standard,,off,,,0
SGCHKJTH,551d60abf25ad16a,data_analysis,1,survivor,78541,,ok,,1,0,8.25,req_011CeVNg2jy6Z6Fv6veYbVgF,ec05f9f2-b0c6-4d6c-9688-460edfad7c8b,2.1.197,claude-sonnet-5,6526,7884,5938,1,end_turn,completed,1,537,0,35180,35181,0.24615900000000002,standard,standard,,off,,,0
DFJE8ALD,54aa813a638e3b03,data_analysis,1,survivor,49870,,ok,,1,0,6.83,req_011CeVNgASpJEdHWpr7B389X,e787e754-9f3e-4f24-83d8-0b3f64c0eb82,2.1.197,claude-sonnet-5,5328,6412,4322,1,end_turn,completed,1,389,0,23798,23799,0.16668,standard,standard,,off,,,0
9LTSBSEE,8493ad6bac619aa7,data_analysis,1,survivor,60323,,ok,,1,0,10.06,req_011CeVNgCxsNkmTeZW3i6AQr,22cde473-97b5-4a6f-ad09-fd10a6abb284,2.1.197,claude-sonnet-5,8551,9739,7545,1,end_turn,completed,1,722,0,29673,29674,0.211234,standard,standard,,off,,,0
FHVQQIX3,fa7167f333f217ef,data_analysis,1,survivor,72859,,ok,,1,0,24.06,req_011CeVNfCaXmL4DvkEyC7HLe,87d203a0-b654-42e0-883f-348b3b4b340e,2.1.197,claude-sonnet-5,22720,24026,22103,1,end_turn,completed,1,2025,0,33204,33205,0.25374699999999994,standard,standard,,off,,,0
UHEKLJLC,14965f46c7d71011,data_analysis,1,survivor,61789,,ok,,1,0,7.86,req_011CeVNgeVXxZSLY1TaJqCg7,d1e8b35f-eb5b-483b-b614-4ec83a07ec50,2.1.197,claude-sonnet-5,6595,8192,5869,1,end_turn,completed,1,593,0,29532,29533,0.20896599999999999,standard,standard,,off,,,0
