paper_id,token,task,round,promptbook_version,model,attempt,exit_code,duration_seconds,raw_path,started_at
WCA66X4I,52d7042ca419db5c,power_analysis,1,v1,claude-sonnet-5,1,0,4.78,results\04_classification\raw\power_analysis_v1_r1\52d7042ca419db5c.attempt1.jsonl,2026-08-28T23:54:58+00:00
6XFGQN39,361f6378c64c7024,power_analysis,1,v1,claude-sonnet-5,1,0,7.08,results\04_classification\raw\power_analysis_v1_r1\361f6378c64c7024.attempt1.jsonl,2026-08-28T23:55:05+00:00
D24FD6G2,e0c0ceb1f7a7272a,power_analysis,1,v1,claude-sonnet-5,1,0,7.56,results\04_classification\raw\power_analysis_v1_r1\e0c0ceb1f7a7272a.attempt1.jsonl,2026-08-28T23:55:12+00:00
2RDD8DGI,4e9c8953d53f7148,power_analysis,1,v1,claude-sonnet-5,1,0,3.72,results\04_classification\raw\power_analysis_v1_r1\4e9c8953d53f7148.attempt1.jsonl,2026-08-28T23:55:16+00:00
HPIL7WVW,47eb19461f356d3d,power_analysis,1,v1,claude-sonnet-5,1,0,5.72,results\04_classification\raw\power_analysis_v1_r1\47eb19461f356d3d.attempt1.jsonl,2026-08-28T23:55:22+00:00
KMRQTRP3,c287c6da684c7c35,power_analysis,1,v1,claude-sonnet-5,1,0,3.83,results\04_classification\raw\power_analysis_v1_r1\c287c6da684c7c35.attempt1.jsonl,2026-08-28T23:55:26+00:00
5VWZPNEQ,3629f275ee1b69cd,power_analysis,1,v1,claude-sonnet-5,1,0,4.75,results\04_classification\raw\power_analysis_v1_r1\3629f275ee1b69cd.attempt1.jsonl,2026-08-28T23:55:30+00:00
MTLFVN94,c9da926dcba2555b,power_analysis,1,v1,claude-sonnet-5,1,0,6.47,results\04_classification\raw\power_analysis_v1_r1\c9da926dcba2555b.attempt1.jsonl,2026-08-28T23:55:37+00:00
ZETJJPRR,ffc2324ebdf82d77,power_analysis,1,v1,claude-sonnet-5,1,0,3.42,results\04_classification\raw\power_analysis_v1_r1\ffc2324ebdf82d77.attempt1.jsonl,2026-08-28T23:55:40+00:00
CKEF67C5,8525098a30589138,power_analysis,1,v1,claude-sonnet-5,1,0,4.89,results\04_classification\raw\power_analysis_v1_r1\8525098a30589138.attempt1.jsonl,2026-08-28T23:55:45+00:00
C9P63S2B,b7fb7b4d66739816,power_analysis,1,v1,claude-sonnet-5,1,0,7.72,results\04_classification\raw\power_analysis_v1_r1\b7fb7b4d66739816.attempt1.jsonl,2026-08-28T23:55:53+00:00
2BDG7GVP,84c082b77f9d7b5a,power_analysis,1,v1,claude-sonnet-5,1,0,3.61,results\04_classification\raw\power_analysis_v1_r1\84c082b77f9d7b5a.attempt1.jsonl,2026-08-28T23:55:56+00:00
BAABE7JM,e50fc908a63b9e0f,power_analysis,1,v1,claude-sonnet-5,1,0,3.77,results\04_classification\raw\power_analysis_v1_r1\e50fc908a63b9e0f.attempt1.jsonl,2026-08-28T23:56:00+00:00
LGEECHQM,d545e2f4fc5d2e65,power_analysis,1,v1,claude-sonnet-5,1,0,7.62,results\04_classification\raw\power_analysis_v1_r1\d545e2f4fc5d2e65.attempt1.jsonl,2026-08-28T23:56:08+00:00
UPVYYFVQ,66596f902f6745bc,power_analysis,1,v1,claude-sonnet-5,1,0,3.99,results\04_classification\raw\power_analysis_v1_r1\66596f902f6745bc.attempt1.jsonl,2026-08-28T23:56:12+00:00
XFPCQLGP,b448ee6d72a14a9f,power_analysis,1,v1,claude-sonnet-5,1,0,5.97,results\04_classification\raw\power_analysis_v1_r1\b448ee6d72a14a9f.attempt1.jsonl,2026-08-28T23:56:18+00:00
