paper_id,token,task,round,stratum,chars,text_notes,outcome,detail,attempt,exit_code,duration_seconds,request_id,session_id,claude_code_version,reported_model,duration_ms,duration_api_ms,ttft_ms,num_turns,stop_reason,terminal_reason,input_tokens,output_tokens,cache_read_input_tokens,cache_creation_input_tokens,billed_input_tokens,total_cost_usd,service_tier,speed,inference_geo,fast_mode_state,context_window,max_output_tokens,permission_denials
WCA66X4I,52d7042ca419db5c,power_analysis,1,survivor,89104,refs_unprepared,ok,,1,0,4.78,req_011CeW3op11i9pU6oxFdipgd,8e2a288f-0ef8-4a7e-9d85-b6473aa71c82,2.1.197,claude-sonnet-5,3170,4496,2293,1,end_turn,completed,1,247,0,38934,38935,0.26518200000000003,standard,standard,,off,,,0
6XFGQN39,361f6378c64c7024,power_analysis,1,survivor,72091,refs_unprepared,ok,,1,0,7.08,req_011CeW3p9bEZ3Ka2qikHdH2h,048168c5-127c-42e5-8e08-133732c2db39,2.1.197,claude-sonnet-5,5607,6791,4821,1,end_turn,completed,1,479,0,30903,30904,0.215524,standard,standard,,off,,,0
D24FD6G2,e0c0ceb1f7a7272a,power_analysis,1,survivor,50885,refs_unprepared,ok,,1,0,7.56,req_011CeW3pg5o4AEFyVmc8m3EA,7f770a1e-60af-4740-8160-4b8cf759e17a,2.1.197,claude-sonnet-5,6139,7385,5460,1,end_turn,completed,1,505,0,24635,24636,0.174047,standard,standard,,off,,,0
2RDD8DGI,4e9c8953d53f7148,power_analysis,1,survivor,46963,refs_unprepared,ok,,1,0,3.72,req_011CeW3qEVSfu2k8U3Hr2mY2,55a06f38-3a2b-48c2-967d-fc11a9a11e8d,2.1.197,claude-sonnet-5,2278,3415,2256,1,end_turn,completed,1,127,0,24055,24056,0.164589,standard,standard,,off,,,0
HPIL7WVW,47eb19461f356d3d,power_analysis,1,survivor,56905,refs_unprepared,ok,,1,0,5.72,req_011CeW3qWJhVNcW4YGcFr6QN,153cd4b4-bca7-43bf-9007-096b82633d24,2.1.197,claude-sonnet-5,4303,5535,3839,1,end_turn,completed,1,322,0,28695,28696,0.198828,standard,standard,,off,,,0
KMRQTRP3,c287c6da684c7c35,power_analysis,1,survivor,44409,refs_unprepared,ok,,1,0,3.83,req_011CeW3qvspF1PCkJGLMWbr9,ba956df3-bd21-449a-8554-72ed801347e7,2.1.197,claude-sonnet-5,2376,3383,2184,1,end_turn,completed,1,119,0,21656,21657,0.14780100000000002,standard,standard,,off,,,0
5VWZPNEQ,3629f275ee1b69cd,power_analysis,1,survivor,90307,refs_unprepared,ok,,1,0,4.75,req_011CeW3rCTBcrTZSWV252uFK,36966fff-b492-428c-b61f-a2cc38f0543b,2.1.197,claude-sonnet-5,3503,4783,2659,1,end_turn,completed,1,269,0,38800,38801,0.26450799999999997,standard,standard,,off,,,0
MTLFVN94,c9da926dcba2555b,power_analysis,1,survivor,53920,refs_unprepared,ok,,1,0,6.47,req_011CeW3rZfdp8JNXvno5nk1S,c9696eb2-83e0-41c5-973a-5893ee33c6f1,2.1.197,claude-sonnet-5,4966,6024,4190,1,end_turn,completed,1,260,0,26087,26088,0.1803,standard,standard,,off,,,0
ZETJJPRR,ffc2324ebdf82d77,power_analysis,1,survivor,46952,refs_unprepared,ok,,1,0,3.42,req_011CeW3s3Goutx1H5sN2AvDJ,0c2ff465-8676-48d3-851d-e421de09ef23,2.1.197,claude-sonnet-5,2032,3139,2010,1,end_turn,completed,1,114,0,22934,22935,0.15683,standard,standard,,off,,,0
CKEF67C5,8525098a30589138,power_analysis,1,survivor,52817,refs_unprepared,ok,,1,0,4.89,req_011CeW3sHngZNDUwbXFw6k4C,4dc96101-78d9-412d-b4e2-17780adcc254,2.1.197,claude-sonnet-5,3405,4906,2443,1,end_turn,completed,1,248,0,25266,25267,0.174375,standard,standard,,off,,,0
C9P63S2B,b7fb7b4d66739816,power_analysis,1,survivor,79760,refs_unprepared,ok,,1,0,7.72,req_011CeW3sfrVFFf91EhUHAtKB,4955bc27-d7b5-411f-af94-1e9660a75646,2.1.197,claude-sonnet-5,6109,7393,5628,1,end_turn,completed,1,385,0,36948,36949,0.255337,standard,standard,,off,,,0
2BDG7GVP,84c082b77f9d7b5a,power_analysis,1,survivor,44081,refs_unprepared,ok,,1,0,3.61,req_011CeW3tEqMomqnRVLxj8ww6,88a831ca-6252-44b0-b13b-ea4f465435e6,2.1.197,claude-sonnet-5,1974,3134,1939,1,end_turn,completed,1,119,0,20436,20437,0.1398,standard,standard,,off,,,0
BAABE7JM,e50fc908a63b9e0f,power_analysis,1,survivor,45709,refs_unprepared,ok,,1,0,3.77,req_011CeW3tWQjQ81oFeLeYM9or,7e588e42-34ab-44ff-b111-e11b63ea8ac4,2.1.197,claude-sonnet-5,2134,3342,2114,1,end_turn,completed,1,146,0,21227,21228,0.145045,standard,standard,,off,,,0
LGEECHQM,d545e2f4fc5d2e65,power_analysis,1,survivor,60076,refs_unprepared,ok,,1,0,7.62,req_011CeW3tm4YkKv8zsAgxKWts,44e89957-87b4-4780-b47b-7adf0b301b30,2.1.197,claude-sonnet-5,6374,7696,5537,1,end_turn,completed,1,494,0,27034,27035,0.18944699999999998,standard,standard,,off,,,0
UPVYYFVQ,66596f902f6745bc,power_analysis,1,survivor,108489,refs_unprepared,ok,,1,0,3.99,req_011CeW3uLDqURFp5DQCbfpsn,953192fe-58c4-441f-8970-f8cce1ef4c7b,2.1.197,claude-sonnet-5,2564,4124,2531,1,end_turn,completed,1,138,0,59211,59212,0.40794099999999994,standard,standard,,off,,,0
XFPCQLGP,b448ee6d72a14a9f,power_analysis,1,survivor,57974,refs_unprepared,ok,,1,0,5.97,req_011CeW3ud7LeHgvZor4X3Zn4,b519db8f-8bba-46f9-b1e0-ec0258ce7c53,2.1.197,claude-sonnet-5,4727,6230,4424,1,end_turn,completed,1,250,0,28709,28710,0.198179,standard,standard,,off,,,0
NQ4Y7FIA,66d3f8b992f92766,power_analysis,1,survivor,113178,refs_unprepared,ok,,1,0,3.34,req_011CeW3v4vcFqUfTgSwDaFbD,dc469dab-036d-414a-83b2-069652d9aa1f,2.1.197,claude-sonnet-5,1969,3289,1950,1,end_turn,completed,1,82,0,46036,46037,0.311795,standard,standard,,off,,,0
BLWKH6C8,cb3a5b17641dd5c0,power_analysis,1,survivor,54159,refs_unprepared,ok,,1,0,3.81,req_011CeW3vKLYD3euATF3gpANJ,58014f39-4fb7-440c-9520-45386e483ddf,2.1.197,claude-sonnet-5,2365,3535,2273,1,end_turn,completed,1,129,0,25194,25195,0.17155900000000002,standard,standard,,off,,,0
C69UAKKB,cf14a6ea26bfd1cf,power_analysis,1,survivor,83781,refs_unprepared,ok,,1,0,5.53,req_011CeW3vbh3JMwLfcwfWsQ81,5efdb72d-8a68-4588-85fd-fc12613705b7,2.1.197,claude-sonnet-5,4134,5311,3282,1,end_turn,completed,1,308,0,38277,38278,0.261607,standard,standard,,off,,,0
FHVQQIX3,f54980e668138138,power_analysis,1,survivor,72859,refs_unprepared,ok,,1,0,3.7,req_011CeW3w1nNuYVnzjC6Ujs8b,7269cced-2491-4c42-ba72-88fe8b4407ab,2.1.197,claude-sonnet-5,2166,3418,2144,1,end_turn,completed,1,122,0,33229,33230,0.22545199999999999,standard,standard,,off,,,0
4GUDDLNQ,6425305c44332041,power_analysis,1,survivor,75461,refs_unprepared,ok,,1,0,6.66,req_011CeW3wH2QaNUDNyJtqJhTR,5792405f-be36-4ec5-9d91-f1b3beca4877,2.1.197,claude-sonnet-5,5170,6552,4244,1,end_turn,completed,1,398,0,35796,35797,0.24884500000000004,standard,standard,,off,,,0
B3KTU9TU,b2caec83ff3c6aa3,power_analysis,1,survivor,55644,refs_unprepared,ok,,1,0,5.75,req_011CeW3wmJkxxxG49wfcPn6u,3e3a712b-610f-42d5-9a7e-da7cb6674b07,2.1.197,claude-sonnet-5,4403,5611,3635,1,end_turn,completed,1,371,0,25252,25253,0.176008,standard,standard,,off,,,0
WY9D5UIK,57743291d7ac1932,power_analysis,1,survivor,26659,refs_unprepared,ok,,1,0,3.83,req_011CeW3xCw7zjwXxGKtesHRr,fc1ec66a-fc4f-4d3e-8b17-67d9afe11b4a,2.1.197,claude-sonnet-5,2215,3259,2110,1,end_turn,completed,1,125,0,14410,14411,0.099377,standard,standard,,off,,,0
SGCHKJTH,52df9b78c620d672,power_analysis,1,survivor,78541,refs_unprepared,ok,,1,0,3.64,req_011CeW3xVYzz5ouhQGBfmiKd,e02b45c0-9848-40ad-b1c7-e1b563304144,2.1.197,claude-sonnet-5,2093,3308,2069,1,end_turn,completed,1,96,0,35215,35216,0.23988400000000004,standard,standard,,off,,,0
DFJE8ALD,982c42d9a13b5f8c,power_analysis,1,survivor,49870,refs_unprepared,ok,,1,0,5.3,req_011CeW3xkkJgx5NEq564FwUk,efc17953-58a4-4abf-ae92-069e9ba783bf,2.1.197,claude-sonnet-5,3832,4946,3333,1,end_turn,completed,1,258,0,23848,23849,0.16512999999999997,standard,standard,,off,,,0
9LTSBSEE,02df2544984b0cb0,power_analysis,1,survivor,60323,refs_unprepared,ok,,1,0,3.53,req_011CeW3y8rLMKhQPTD7raEWY,4a2bf332-55ac-4357-a86a-983c26883fe5,2.1.197,claude-sonnet-5,2230,3453,2207,1,end_turn,completed,1,128,0,29708,29709,0.20263899999999999,standard,standard,,off,,,0
IPR6QU8P,66bc5344865d7182,power_analysis,1,survivor,55690,refs_unprepared,ok,,1,0,3.5,req_011CeW3yQB5VwCU5gmEP4MUV,05eafffb-b043-450f-af49-3f27cc118ae5,2.1.197,claude-sonnet-5,1967,3279,1941,1,end_turn,completed,1,117,0,29169,29170,0.20019900000000002,standard,standard,,off,,,0
SH5J2R2J,c132213e1d024c3d,power_analysis,1,survivor,56113,refs_unprepared,ok,,1,0,5.2,req_011CeW3yfRcDKLTGeQnQVQdp,fb455c16-ca1a-442a-95bf-15e6b5d9851a,2.1.197,claude-sonnet-5,3651,4918,2935,1,end_turn,completed,1,248,0,27043,27044,0.187035,standard,standard,,off,,,0
UHEKLJLC,2c735c5e5ac78638,power_analysis,1,survivor,61789,refs_unprepared,ok,,1,0,5.2,req_011CeW3z3m2dg2Q9Fgyo2D9F,46f81611-b559-4c67-8d2f-81f16e111e2c,2.1.197,claude-sonnet-5,3701,4841,3106,1,end_turn,completed,1,262,0,29582,29583,0.204406,standard,standard,,off,,,0
TGSIADX6,b57cdae87ba69d35,power_analysis,1,survivor,47354,refs_unprepared,ok,,1,0,4.72,req_011CeW3zSKLmDFZ9kYaoyE7z,700e4d04-641a-4053-8e97-8ba5b4ee8cbf,2.1.197,claude-sonnet-5,3191,4464,2102,1,end_turn,completed,1,226,0,21884,21885,0.15102500000000002,standard,standard,,off,,,0
BR4Y6FSS,d556d69856a2357c,power_analysis,1,survivor,49294,refs_unprepared,ok,,1,0,3.59,req_011CeW3znK7sxgvhETf8ksb8,a79b1771-c292-44f4-95d5-4de9834024a0,2.1.197,claude-sonnet-5,1998,3197,1969,1,end_turn,completed,1,117,0,24397,24398,0.16688,standard,standard,,off,,,0
26LDPI8G,89c10d372dc2a311,power_analysis,1,survivor,53389,refs_unprepared,ok,,1,0,4.56,req_011CeW413iKeTahmheYs29Ag,0461fac6-f85c-4993-a85b-18cf4e50ccf5,2.1.197,claude-sonnet-5,3049,4063,2508,1,end_turn,completed,1,244,0,25994,25995,0.179536,standard,standard,,off,,,0
7M6ST2JQ,640a4c8248ea51b6,power_analysis,1,survivor,51879,refs_unprepared,ok,,1,0,17.53,req_011CeW41PuWa2pMre3i26A64,63360296-41b4-48bf-8730-2040e395e173,2.1.197,claude-sonnet-5,15939,17190,15321,1,end_turn,completed,1,1422,0,26086,26087,0.198493,standard,standard,,off,,,0
L8CPLJYW,82afa061a90c9c8b,power_analysis,1,survivor,56303,refs_unprepared,ok,,1,0,6.03,req_011CeW42gDZZh4XY2ZLpxcRS,aa25e8f4-7011-4144-a5a1-d3080de7771c,2.1.197,claude-sonnet-5,4607,5745,3629,1,end_turn,completed,1,356,0,25955,25956,0.18059699999999995,standard,standard,,off,,,0
TBFRUAMD,1dde6d6489b6cf5c,power_analysis,1,survivor,74621,refs_unprepared,ok,,1,0,5.92,req_011CeW437dH5ct5maav46JSN,f46064b8-b949-43fa-a6b3-3ca62ea31143,2.1.197,claude-sonnet-5,4531,5920,3679,1,end_turn,completed,1,261,0,34083,34084,0.23383800000000002,standard,standard,,off,,,0
BW2B5H9P,eaafddb0becf82e2,power_analysis,1,survivor,40164,refs_unprepared,ok,,1,0,4.91,req_011CeW43Zu5zkVmLFDXe1BZD,717a4354-47b3-4b98-a23a-58618fa07ad6,2.1.197,claude-sonnet-5,3314,4403,3278,1,end_turn,completed,1,132,0,19520,19521,0.133495,standard,standard,,off,,,0
DCYTWR4N,5dd036f4e179de29,power_analysis,1,survivor,33338,refs_unprepared,ok,,1,0,3.36,req_011CeW43wDEfF9drERLosLA6,e2bc1811-bca1-4565-87e8-dc5e4d357d6a,2.1.197,claude-sonnet-5,1766,2811,1720,1,end_turn,completed,1,85,0,17639,17640,0.12033999999999999,standard,standard,,off,,,0
72N55PAH,4395dff1263a3648,power_analysis,1,survivor,49491,refs_unprepared,ok,,1,0,3.38,req_011CeW44ApYTwEG38ymCFALf,8de232d3-2e03-408a-b944-1d6ebe6ddce6,2.1.197,claude-sonnet-5,1977,3292,1952,1,end_turn,completed,1,106,0,24592,24593,0.168055,standard,standard,,off,,,0
84YU8UCD,794745ffad9278cd,power_analysis,1,survivor,65279,refs_unprepared,ok,,1,0,5.39,req_011CeW44Qw7F6PbPJzhUvoUr,483c7b06-93cb-4ddc-bb8b-b77b3f861521,2.1.197,claude-sonnet-5,4111,5348,3664,1,end_turn,completed,1,285,0,32079,32080,0.22126700000000005,standard,standard,,off,,,0
UMV6NC2L,08d269ab3b888e8b,power_analysis,1,survivor,74924,refs_unprepared,process_failure,,1,1,1.84,req_011CeW44pNkhZKw1yc1JAuKS,767a29c5-77a7-4db3-92bb-00796616c46b,2.1.197,claude-sonnet-5,375,0,,1,stop_sequence,completed,0,0,0,0,0,0,standard,standard,,off,,,0
WD74R75C,cb8151b42ed4674a,power_analysis,1,survivor,51441,refs_unprepared,process_failure,,1,1,1.75,req_011CeW44x7qQQKiNknRoodLf,fc525b24-f6cf-4a6f-91ae-098896d42d4e,2.1.197,claude-sonnet-5,367,0,,1,stop_sequence,completed,0,0,0,0,0,0,standard,standard,,off,,,0
9DKJKFAS,8f165dcccd35a48c,power_analysis,1,survivor,88330,refs_unprepared,process_failure,,1,1,1.7,req_011CeW455PeMWgqiDKM7yCdB,b1ecaaba-ec5c-40f9-a101-653996e34175,2.1.197,claude-sonnet-5,364,0,,1,stop_sequence,completed,0,0,0,0,0,0,standard,standard,,off,,,0
H7N83IW2,576a8d88514686f4,power_analysis,1,survivor,47691,refs_unprepared,process_failure,,1,1,1.83,req_011CeW45DLdZQeaYzFTALT5i,4e1ec75e-e3e0-444d-a889-1d8fc0e52c2a,2.1.197,claude-sonnet-5,369,0,,1,stop_sequence,completed,0,0,0,0,0,0,standard,standard,,off,,,0
LU33978L,7b89aea833a314fd,power_analysis,1,survivor,54250,refs_unprepared,process_failure,,1,1,1.75,req_011CeW45Ln714baaMzeRdYym,5578dc02-129b-4e63-b306-3c1976effc25,2.1.197,claude-sonnet-5,379,0,,1,stop_sequence,completed,0,0,0,0,0,0,standard,standard,,off,,,0
TEXLFQSL,a65557f9bc13a7eb,power_analysis,1,survivor,63992,refs_unprepared,process_failure,,1,1,1.77,req_011CeW45UNG1kYzfgxRMaFUR,55b14f69-5aee-4faf-b556-eedb6e578f26,2.1.197,claude-sonnet-5,412,0,,1,stop_sequence,completed,0,0,0,0,0,0,standard,standard,,off,,,0
VMHXT33Z,2d8a117b03d5218b,power_analysis,1,survivor,57782,refs_unprepared,process_failure,,1,1,1.86,req_011CeW45bxAiaRTDwYK2X3Qt,51ad1af3-1d26-4516-be0e-005b489e5712,2.1.197,claude-sonnet-5,439,0,,1,stop_sequence,completed,0,0,0,0,0,0,standard,standard,,off,,,0
JCPBMIPX,b3f4577fe948f060,power_analysis,1,survivor,51103,refs_unprepared,process_failure,,1,1,1.78,req_011CeW45k9Hh9uMaSsoNt7BG,33c06d5f-6035-4371-90d0-ab533918f1a9,2.1.197,claude-sonnet-5,377,0,,1,stop_sequence,completed,0,0,0,0,0,0,standard,standard,,off,,,0
FEHWGZSQ,7139a9df1cd0d5cf,power_analysis,1,survivor,73304,refs_unprepared,process_failure,,1,1,1.83,req_011CeW45smgBjyG7qzkkKZZB,736b5f18-a4a1-42cb-90e2-538093216dc7,2.1.197,claude-sonnet-5,443,0,,1,stop_sequence,completed,0,0,0,0,0,0,standard,standard,,off,,,0
U7PLGE75,242ca4b85161ce09,power_analysis,1,survivor,51246,refs_unprepared,process_failure,,1,1,1.75,req_011CeW461PKZ8dzt62ZtPZ5o,718b26c4-8c69-4650-9c63-4438a0bf96e0,2.1.197,claude-sonnet-5,377,0,,1,stop_sequence,completed,0,0,0,0,0,0,standard,standard,,off,,,0
