paper_id,set,stage,removed_from,reason,evidence,decided_by,decided_at,source_record,title
6SQ7YL4X,testing,cross_set_duplicate,corpus,"same paper as validation U4546RAU, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Prenatal Household Air Pollution Exposure and Childhood Blood Pressure in Rural Ghana.
S8AWREET,testing,cross_set_duplicate,corpus,"same paper as validation YQC5A963, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Comparative effectiveness of implementation strategies for Accelerating Cervical Cancer Elimination through the integration of Screen-and-treat Services (ACCESS  study): protocol for a cluster randomized hybrid type III trial in Nigeria.
GZB2QRQN,testing,cross_set_duplicate,corpus,"same paper as validation FPX2G3LA, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Examining local smoke-free coalitions in Armenia and Georgia: context and outcomes of a matched-pairs community-randomised controlled trial.
JKT92VFB,testing,cross_set_duplicate,corpus,"same paper as validation FI4T6J44, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Cost-effectiveness of a faith-based lifestyle intervention for diabetes prevention among African Americans: A within-trial analysis.
6A7TZZ7L,testing,cross_set_duplicate,corpus,"same paper as validation NCULGT7Q, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Acceptability and feasibility of mobile phone-based ecological momentary assessment and intervention in Uganda: A pilot randomized controlled trial.
5SYFNTAR,testing,cross_set_duplicate,corpus,"same paper as validation YAIMEWET, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Network characteristics of a referral system for patients with hypertension in Western Kenya: results from the Strengthening Referral Networks for Management of  Hypertension Across the Health System (STRENGTHS) study.
EXEBP353,testing,cross_set_duplicate,corpus,"same paper as validation 9J2SL67D, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Conquering hypertension in Vietnam-solutions at grassroots level: study protocol of a cluster randomized controlled trial.
TJJRPERK,testing,cross_set_duplicate,corpus,"same paper as validation BWAGKCVT, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,Using a continuum of hybrid effectiveness-implementation studies to put research-tested colorectal screening interventions into practice.
SLL6D8W7,testing,cross_set_duplicate,corpus,"same paper as validation BAABE7JM, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,"The comparative effectiveness of decision aids in diverse populations with early stage prostate cancer: a study protocol for a cluster-randomized controlled trial  in the NCI Community Oncology Research Program (NCORP), Alliance A191402CD."
L9QQZC55,testing,cross_set_duplicate,corpus,"same paper as validation FHVQQIX3, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,"Community-based, cluster-randomized pilot trial of a cardiovascular mHealth intervention: Rationale, design, and baseline findings of the FAITH! Trial."
WVYCZBPF,testing,cross_set_duplicate,corpus,"same paper as validation DJYB2MPK, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Design and rationale of the cardiometabolic health program linked with community health workers and mobile health telemonitoring to reduce health disparities  (LINKED-HEARTS) program.
SGEDS55Q,testing,cross_set_duplicate,corpus,"same paper as validation 85UJCVKA, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,"Association of perinatal depression and postpartum contraception intent, choice, and actual use."
IQDL72X9,testing,cross_set_duplicate,corpus,"same paper as validation 4ME98BI9, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Commentary: Right truncation in cluster randomized trials can attenuate the power of a marginal analysis.
Y4QNBWSN,testing,cross_set_duplicate,corpus,"same paper as validation F2BPPKMI, which already carries a human label","matched on DOI, PDF bytes identical",rule,,results/review/02_removed_testing_duplicates.csv,"QuitSMART Utah: an implementation study protocol for a cluster-randomized, multi-level Sequential Multiple Assignment Randomized Trial to increase Reach and  Impact of tobacco cessation treatment in Community Health Centers."
7HSKFB5R,testing,cross_set_duplicate,corpus,"same paper as validation UHLRHMGI, which already carries a human label",matched on DOI,rule,,results/review/02_removed_testing_duplicates.csv,Adaptive Designs in Implementation Science and Practice: Their Promise and the Need for Greater Understanding and Improved Communication.
