removed_paper_id,matched_validation_paper_id,matched_on,pdf_bytes_identical,doi,pmid,pmcid,year,journal,nih_institute_folder,validation_group,removed_verdict,validation_verdict,removed_md5,validation_md5,title
6SQ7YL4X,U4546RAU,DOI,False,10.1289/ehp13225,38506828,PMC10953816,2024,Environmental health perspectives,FIC; NIEHS,NHLBI,VERIFIED,VERIFIED,da4a144fbef7e0b5e125034b66e0d3d4,c7572ce104806fbc3c076244915175d4,Prenatal Household Air Pollution Exposure and Childhood Blood Pressure in Rural Ghana.
S8AWREET,YQC5A963,DOI,True,10.1186/s13012-024-01349-9,38468266,PMC10926605,2024,Implementation science : IS,FIC; NIDA; NIMH,NCI,VERIFIED,VERIFIED,8516a2260ebc2d86e38726efb9b505cd,8516a2260ebc2d86e38726efb9b505cd,Comparative effectiveness of implementation strategies for Accelerating Cervical Cancer Elimination through the integration of Screen-and-treat Services (ACCESS  study): protocol for a cluster randomized hybrid type III trial in Nigeria.
GZB2QRQN,FPX2G3LA,DOI,False,10.1136/bmjgh-2023-013282,38325896,PMC10859987,2024,BMJ global health,FIC; NIDA; NIEHS,NCI,VERIFIED,VERIFIED,23113579ee44242cda699cd4ce1a6035,7bc4383fb2d89232ba9264d06cc0c578,Examining local smoke-free coalitions in Armenia and Georgia: context and outcomes of a matched-pairs community-randomised controlled trial.
JKT92VFB,FI4T6J44,DOI,True,10.1016/j.diabres.2018.09.016,30273708,PMC6295256,2018,Diabetes research and clinical practice,FIC; NIDDK,NHLBI,VERIFIED,VERIFIED,71d6546d2f5af98ba28eb1232de0217e,71d6546d2f5af98ba28eb1232de0217e,Cost-effectiveness of a faith-based lifestyle intervention for diabetes prevention among African Americans: A within-trial analysis.
6A7TZZ7L,NCULGT7Q,DOI,True,10.1371/journal.pone.0273228,36018846,PMC9416993,2022,PloS one,FIC; NIA; NIAID,NHLBI,VERIFIED,VERIFIED,baea26fde6066063c24f724a8db61128,baea26fde6066063c24f724a8db61128,Acceptability and feasibility of mobile phone-based ecological momentary assessment and intervention in Uganda: A pilot randomized controlled trial.
5SYFNTAR,YAIMEWET,DOI,True,10.1186/s12913-022-07699-8,35255913,PMC8903732,2022,BMC health services research,FIC,NHLBI,VERIFIED,VERIFIED,ab4bb6f7ad0284115dccfed3f19b7c17,ab4bb6f7ad0284115dccfed3f19b7c17,Network characteristics of a referral system for patients with hypertension in Western Kenya: results from the Strengthening Referral Networks for Management of  Hypertension Across the Health System (STRENGTHS) study.
EXEBP353,9J2SL67D,DOI,True,10.1186/s13063-020-04917-8,33246495,PMC7694904,2020,Trials,FIC,NHLBI,VERIFIED,VERIFIED,2fa2ce040d3ef7f86b69ba1f624c3cf7,2fa2ce040d3ef7f86b69ba1f624c3cf7,Conquering hypertension in Vietnam-solutions at grassroots level: study protocol of a cluster randomized controlled trial.
TJJRPERK,BWAGKCVT,DOI,True,10.1186/s13012-019-0903-5,31142348,PMC6542058,2019,Implementation science : IS,NCATS; NCCIH,NCI,VERIFIED,VERIFIED,b16028f76d5a736cf05128650a328ae6,b16028f76d5a736cf05128650a328ae6,Using a continuum of hybrid effectiveness-implementation studies to put research-tested colorectal screening interventions into practice.
SLL6D8W7,BAABE7JM,DOI,True,10.1186/s12885-018-4672-3,30081846,PMC6080528,2018,BMC cancer,NCATS; NIMHD,NCI,VERIFIED,VERIFIED,7e4e47105f17fe2658a747e74b5b13e7,7e4e47105f17fe2658a747e74b5b13e7,"The comparative effectiveness of decision aids in diverse populations with early stage prostate cancer: a study protocol for a cluster-randomized controlled trial  in the NCI Community Oncology Research Program (NCORP), Alliance A191402CD."
L9QQZC55,FHVQQIX3,DOI,True,10.1016/j.ahj.2022.01.009,35065922,PMC9037298,2022,American heart journal,NCATS; NIMHD,NCI,VERIFIED,VERIFIED,b3d3cc2e13aa40b1f4678cb0d6623713,b3d3cc2e13aa40b1f4678cb0d6623713,"Community-based, cluster-randomized pilot trial of a cardiovascular mHealth intervention: Rationale, design, and baseline findings of the FAITH! Trial."
WVYCZBPF,DJYB2MPK,DOI,False,10.1016/j.ahj.2024.05.008,38759910,PMC11748808,2024,American heart journal,NCATS; NIMHD; NINR,NHLBI,VERIFIED,VERIFIED,2dbc08661413cc560f61e913904fb232,8349ecc7d7aeebfad873878910b7f798,Design and rationale of the cardiometabolic health program linked with community health workers and mobile health telemonitoring to reduce health disparities  (LINKED-HEARTS) program.
SGEDS55Q,85UJCVKA,DOI,False,10.1016/j.contraception.2024.110447,38583583,PMC11323034,2024,Contraception,NCATS; NIGMS,NHLBI,VERIFIED,VERIFIED,22bee40dacb13ffa279a61e832259ee0,98541068fa238a0b78a3388591eee033,"Association of perinatal depression and postpartum contraception intent, choice, and actual use."
IQDL72X9,4ME98BI9,DOI,False,10.1093/ije/dyaa037,32211886,PMC7394942,2020,International journal of epidemiology,NCATS; NCCIH; NIDA,NHLBI,VERIFIED,VERIFIED,430bfb5537c726a7b4387b972ae57efd,7cf2145fe1e78cd4d7a1ab08e6b91463,Commentary: Right truncation in cluster randomized trials can attenuate the power of a marginal analysis.
Y4QNBWSN,F2BPPKMI,DOI,True,10.1186/s13012-020-0967-2,32000812,PMC6993416,2020,Implementation science : IS,NCATS; NIDA,NCI,VERIFIED,VERIFIED,a9f3b63841ec1f77d10c402ef919c5aa,a9f3b63841ec1f77d10c402ef919c5aa,"QuitSMART Utah: an implementation study protocol for a cluster-randomized, multi-level Sequential Multiple Assignment Randomized Trial to increase Reach and  Impact of tobacco cessation treatment in Community Health Centers."
7HSKFB5R,UHLRHMGI,DOI,False,10.1146/annurev-publhealth-060222-014438,37931183,PMC11070446,2024,Annual review of public health,NCATS; NIDA; NIMH,NHLBI,VERIFIED,VERIFIED,b81febe37cc3de7ec5ef572e40f63ecc,888f2b4cde21cd3c1b4d9d9434f63e20,Adaptive Designs in Implementation Science and Practice: Their Promise and the Need for Greater Understanding and Improved Communication.
Z49RK7S3,W2VQEXEG,DOI,False,10.1016/j.cct.2020.106164,33053431,PMC8093013,2021,Contemporary clinical trials,NCATS; NIDDK,NHLBI,VERIFIED,VERIFIED,656521bbea1f99c201295fb21b8933c2,1fd07d904dac6244b3ecab97f0d92f2e,"Medical assistant health coaching (""MAC"") for type 2 diabetes in diverse primary care settings: A pragmatic, cluster-randomized controlled trial protocol."
4SMC3YCR,WGQGTBTE,DOI,True,10.1186/s13063-021-05899-x,35090520,PMC8796443,2022,Trials,NCATS; NIDDK,NHLBI,VERIFIED,VERIFIED,55ca66418a083fcf536816f99b23cbd7,55ca66418a083fcf536816f99b23cbd7,Dulce Digital-Me: protocol for a randomized controlled trial of an adaptive mHealth intervention for underserved Hispanics with diabetes.
LNJRE9FB,Y5J6YZK2,DOI,False,10.1093/tbm/ibad018,37011041,PMC10496429,2023,Translational behavioral medicine,NCATS; NIDDK,NCI,VERIFIED,VERIFIED,76fe90273a78525b8c7a08d3c7272e2c,8f89f2efa57a7813770aa97c84495eaf,Engaging diverse midlife and older adults in a multilevel participatory physical activity intervention: evaluating impacts using Ripple Effects Mapping.
ZCN2GW5H,4EYIVLJR,DOI,False,10.1093/tbm/ibab144,34791499,PMC8849003,2022,Translational behavioral medicine,NCATS; NIDDK,NHLBI,VERIFIED,VERIFIED,d330ad76a0669411b1ec6425877bad08,4be8f837aa16b7f77e3343d06452b65a,Process evaluation of a medical assistant health coaching intervention for type 2 diabetes in diverse primary care settings.
TXGVITEJ,RUYVCGHY,DOI,False,10.2215/cjn.12300720,33888536,PMC8259480,2021,Clinical journal of the American Society of Nephrology : CJASN,NCATS; NIDDK,NHLBI,VERIFIED,VERIFIED,8ec757914bc4f9f94aba67c6fa31ec86,fb5523797ffd121bbfc5630fb75cb17b,Targeting Sedentary Behavior in CKD: A Pilot and Feasibility Randomized Controlled Trial.
5XST2QLS,EBWFU9KS,DOI,False,10.1111/josh.13448,38551064,PMC11088980,2024,The Journal of school health,NCATS; NICHD,NCI,VERIFIED,VERIFIED,2f4f93f3bfd7797e98fd2749e565fe82,68cbf8ad4ba15989a83aae9e15f360ae,Assessment of COVID-19 Messaging Strategies to Increase Testing for Students With Intellectual and Developmental Disabilities.
EMQMPLJ5,G78NBYUH,DOI,True,10.1186/s13012-019-0916-0,31238955,PMC6593605,2019,Implementation science : IS,NCATS; NIAID; NIDDK,NHLBI,VERIFIED,VERIFIED,09ea94f1d959232cb582282b82d5699e,09ea94f1d959232cb582282b82d5699e,Disseminating and implementing a lifestyle-based healthy weight program for mothers in a national organization: a study protocol for a cluster randomized  trial.
MEWCCWRY,8MGIPU3P,DOI,False,10.1016/j.cct.2021.106510,34280575,PMC8453113,2021,Contemporary clinical trials,NCATS; NIAID,NHLBI,VERIFIED,VERIFIED,30ea5293eb964def643128d07e64a01e,04b90c9ce173c970c20aca8ceee99228,Incorporating systems-level stakeholder perspectives into the clinical trial design of school-supervised asthma therapy.
QSSAN7UI,ABV8X64G,DOI,True,10.1016/j.jand.2018.04.011,30055710,PMC7604883,2018,Journal of the Academy of Nutrition and Dietetics,NCATS; NIA,NCI,VERIFIED,VERIFIED,da587952c580c5fac62836dabcbe5936,da587952c580c5fac62836dabcbe5936,"Impact of the Out-of-School Nutrition and Physical Activity (OSNAP) Group Randomized Controlled Trial on Children's Food, Beverage, and Calorie Consumption  among Snacks Served."
ZIW6MP95,UJB4QA99,DOI,False,10.1002/onco.13975,34510642,PMC8649062,2021,The oncologist,NCATS; NIA,NCI,VERIFIED,VERIFIED,1daa0da15c036dba3cc57df9ff811d42,da45904403db05b878736348a70b57f5,The Relationship Between Frailty and Emotional Health in Older Patients with Advanced Cancer.
2UTZGV6B,VPCPTPZL,DOI,True,10.1200/op.21.00196,34228510,PMC8758128,2022,JCO oncology practice,NCATS; NIA,NCI,VERIFIED,VERIFIED,c4716feffbcb9b7ae8cae23da236bc21,c4716feffbcb9b7ae8cae23da236bc21,Using Geriatric Assessment to Guide Conversations Regarding Comorbidities Among Older Patients With Advanced Cancer.
CBXHYRH6,8NC76BQP,DOI,False,10.1111/jgs.15631,30452084,PMC6613645,2019,Journal of the American Geriatrics Society,NCATS; NIA,NHLBI,VERIFIED,VERIFIED,6f24da620705fc85940e49393765c8dd,9122282d79b171ee533eacf9b24e37de,Effect of Hospitalizations on Physical Activity Patterns in Mobility-Limited Older Adults.
ZJVGPCQS,KESZW83P,DOI,True,10.1056/nejmc1804294,29768150,PMC6570410,2018,The New England journal of medicine,NCATS; NIA; NIGMS,NHLBI,VERIFIED,VERIFIED,fe57917f0ed71faf0a3ba32911395bf8,fe57917f0ed71faf0a3ba32911395bf8,Balanced Crystalloids versus Saline in Critically Ill Adults.
SHZWCASA,LU33978L,DOI,False,10.1016/j.jacc.2019.07.058,31558252,PMC7000126,2019,Journal of the American College of Cardiology,NCATS; NIA,NHLBI,VERIFIED,VERIFIED,8e14753b56f0d65fb23574bc718a7eb2,4a2efae4cc19df5ffac4128db5bd444b,Improving Communication in Heart Failure Patient Care.
K6ICH5QI,C9R7RUUN,DOI,False,10.1177/17407745231222018,38197388,PMC11233424,2024,"Clinical trials (London, England)",NCATS; NIA,NHLBI,VERIFIED,VERIFIED,3393e02f406f5bec71f5abdaffe8608c,62776b418258dd135432d63df52ab32a,Hierarchical Bayesian modeling of heterogeneous outcome variance in cluster randomized trials.
NRBW33RG,XEKC6EFN,DOI,False,10.1161/circulationaha.117.030617,29311053,PMC5893372,2018,Circulation,NCATS; NIA,NHLBI,VERIFIED,VERIFIED,e22a3368cacd879f8986d2ea42b0adb6,c0b6587d8dd39e8dca1795308aa1803e,Reversing the Cardiac Effects of Sedentary Aging in Middle Age-A Randomized Controlled Trial: Implications For Heart Failure Prevention.
KVYE5RWF,NESLQUNP,DOI,False,10.1056/nejmoa1711584,29485925,PMC5846085,2018,The New England journal of medicine,NCATS; NIA; NIGMS,NHLBI,VERIFIED,VERIFIED,5d222daa027bf72b0818b6fc2cdd4edb,598b187b0f7170e705db4cf7cdb2d405,Balanced Crystalloids versus Saline in Critically Ill Adults.
32XV68PT,36I94AIH,DOI,True,10.1016/j.cct.2024.107494,38458557,PMC11065585,2024,Contemporary clinical trials,NCATS,NCI,VERIFIED,VERIFIED,ac777172be9f103d5dd2fda73fe187f3,ac777172be9f103d5dd2fda73fe187f3,Protocol for a cluster-randomized trial of a school-based skin cancer preventive intervention for adolescents.
DH6IG7JY,HKJXZKTF,DOI,True,10.1056/nejmoa1717250,29527973,PMC6018053,2018,The New England journal of medicine,NCATS,NHLBI,VERIFIED,VERIFIED,58a6e553b681741820dd765b99b7c318,58a6e553b681741820dd765b99b7c318,A Cluster-Randomized Trial of Blood-Pressure Reduction in Black Barbershops.
S3NDM3VQ,E2MNEMB8,DOI,False,10.1161/circulationaha.118.038165,30592662,PMC6917481,2019,Circulation,NCATS,NHLBI,VERIFIED,VERIFIED,4a4b131ded24e053302b354b9213c266,298a85308bb5d71966a6bd413fe3f001,Sustainability of Blood Pressure Reduction in Black Barbershops.
TWYU2VCY,9LTSBSEE,DOI,False,10.1001/jamapediatrics.2021.0766,34028494,PMC8145158,2021,JAMA pediatrics,NCATS,NCI,VERIFIED,VERIFIED,45bf94e81ab1d9298ada3324ccca1d6c,9185e98d0eddbf568d59574c70930c94,Effect of Training Pediatric Clinicians in Human Papillomavirus Communication Strategies on Human Papillomavirus Vaccination Rates: A Cluster Randomized  Clinical Trial.
VXKNB5DX,5CPW9STM,DOI,False,10.3122/jabfm.2021.05.210140,34535524,PMC8571730,2021,Journal of the American Board of Family Medicine : JABFM,NCATS,NHLBI,VERIFIED,VERIFIED,272cb3e04608229476e0f317e8d2e967,563cd9b2d9b33719cd0bfee4d3e2f12a,"Successful Trial of Practice Facilitation for Plan, Do, Study, Act Quality Improvement."
N35XJ5YV,YHKIB4RS,DOI,False,10.1056/nejmoa2208415,36278971,PMC9724830,2022,The New England journal of medicine,NCATS,NHLBI,VERIFIED,VERIFIED,2ea8a136b6f21354aa6978c9d5144074,4c0e0822194d5449ea5a7ab768fa6779,Oxygen-Saturation Targets for Critically Ill Adults Receiving Mechanical Ventilation.
HA58JB25,U9LEIXXF,DOI,False,10.1001/jamanetworkopen.2020.24596,33196806,PMC7670314,2020,JAMA network open,NCATS,NHLBI,VERIFIED,VERIFIED,1c76a73e01d879fc566cd8955dc62e5d,228e70bbdaa10d8a446c099b13b1f29d,Clinical Effects of Balanced Crystalloids vs Saline in Adults With Diabetic Ketoacidosis: A Subgroup Analysis of Cluster Randomized Clinical Trials.
KHHFUXBI,8NX9CDB5,DOI,True,10.1016/j.cct.2021.106448,34023515,PMC8543489,2021,Contemporary clinical trials,NCATS,NCI,VERIFIED,VERIFIED,b8e84ee6c6eb785aa6e343fb3f55d252,b8e84ee6c6eb785aa6e343fb3f55d252,"The Head and Neck Survivorship Tool (HN-STAR) Trial (WF-1805CD): A protocol for a cluster-randomized, hybrid effectiveness-implementation, pragmatic trial to  improve the follow-up care of head and neck cancer survivors."
8YQN99UA,YKCJ78UM,DOI,True,10.1186/s13012-020-00988-y,32316993,PMC7171793,2020,Implementation science : IS,NCATS,NHLBI,VERIFIED,VERIFIED,3f84fc02f0e455ddc2695ba65c2c11ca,3f84fc02f0e455ddc2695ba65c2c11ca,Study protocol: a cluster randomized trial to evaluate the effectiveness and implementation of onsite GeneXpert testing at community health centers in Uganda  (XPEL-TB).
CSI9YBL2,LGEECHQM,DOI,True,10.1016/j.cct.2020.106162,33038506,PMC7686283,2020,Contemporary clinical trials,NCATS,NHLBI,VERIFIED,VERIFIED,29e7cc7bed24e4a88c3228a94c2f4ae1,29e7cc7bed24e4a88c3228a94c2f4ae1,A mHealth intervention to preserve and promote ideal cardiovascular health in college students: Design and protocol of a cluster randomized controlled trial.
PDUGS7DP,IT2B87LL,DOI,True,10.1186/s13722-022-00295-5,35164857,PMC8842942,2022,Addiction science & clinical practice,NCATS,NCI,VERIFIED,VERIFIED,4719a6edbed65bd212db8a09b2218358,4719a6edbed65bd212db8a09b2218358,"A cluster randomized controlled trial for a multi-level, clinic-based smoking cessation program with women in Appalachian communities: study protocol for the  ""Break Free"" program."
TZAGY4NU,DJE2PNQA,DOI,False,10.1002/cncr.33183,33079411,PMC7790907,2021,Cancer,NCATS,NCI,VERIFIED,VERIFIED,b2f89358a58bae164d629115b379c294,46d1ae25c6c9eaae71f18915502f17f4,A randomized study to prevent lymphedema in women treated for breast cancer: CALGB 70305 (Alliance).
CM3Z8D7D,DEKG3YAI,DOI,False,10.1158/1055-9965.epi-17-1085,30337343,PMC6214791,2018,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of  Preventive Oncology",NCATS,NCI,VERIFIED,VERIFIED,cd7753bb71d06f0e615a446d63df7e9f,2b1744908d5f1d8d09142cbcef6a95e8,A Group Randomized Trial to Reduce Obesity among Appalachian Church Members: The Walk by Faith Study.
H2EMVC97,GYRIVJLS,DOI,True,10.1186/s13063-023-07863-3,38243291,PMC10797863,2024,Trials,NCATS,NHLBI,VERIFIED,VERIFIED,4df0a3e4bc3fcdd8cfc7407df052c401,4df0a3e4bc3fcdd8cfc7407df052c401,Robotic versus Electromagnetic bronchoscopy for pulmonary LesIon AssessmeNT: the RELIANT pragmatic randomized trial.
88MUVGL7,Q2S96SJ9,DOI,False,10.1016/j.cct.2022.106884,35995130,PMC9489677,2022,Contemporary clinical trials,NCATS,NHLBI,VERIFIED,VERIFIED,05592087251e58b84f087ada4b4db43c,fea0e18fd167c822eeb87f9ebece42d2,Strategies to improve the recruitment and retention of underserved children and families in clinical trials: A case example of a school-supervised asthma therapy  pilot.
M46JBV2K,BZHD4F63,DOI,False,10.1002/cncr.33184,33079393,PMC7790999,2021,Cancer,NCATS,NCI,VERIFIED,VERIFIED,fa307128dd99ea307c2a7ccc8c43953b,28673d0b8baaf09b4698d571a51ddd34,Health-related quality of life outcomes for the LEAP study-CALGB 70305 (Alliance): A lymphedema prevention intervention trial for newly diagnosed breast  cancer patients.
LWBEKQXY,PKIN6R35,DOI,False,10.1513/annalsats.201912-872oc,32776853,PMC7780975,2021,Annals of the American Thoracic Society,NCATS,NHLBI,VERIFIED,VERIFIED,09c631607b0d77dd2ef9ad4cb7ad4df3,7292ee8e6837014b3a8ef4f95b0006c2,Association of Race and Ethnicity with Sedation Management in Pediatric Intensive Care.
IIM5LTHQ,2BDG7GVP,DOI,True,10.1016/j.jand.2018.12.007,30772298,PMC6536323,2019,Journal of the Academy of Nutrition and Dietetics,NCATS,NHLBI,VERIFIED,VERIFIED,193841aef3d28e20fa0baf67290d00d9,193841aef3d28e20fa0baf67290d00d9,A Group Randomized Intervention Trial Increases Participation in the School Breakfast Program in 16 Rural High Schools in Minnesota.
TDLGKW2I,L3XSIHDW,DOI,False,10.1016/j.ahj.2022.12.016,36640860,PMC10023424,2023,American heart journal,NCATS,NHLBI,VERIFIED,VERIFIED,3202d18abbef36f9b5e80f795d0f8fd4,d310ba83773ff533c6ad56c8a2942227,Design and pilot implementation for the BETTER CARE-HF trial: A pragmatic cluster-randomized controlled trial comparing two targeted approaches to  ambulatory clinical decision support for cardiologists.
4GPSLLBZ,PQNBSQLX,DOI,False,10.1016/j.jacc.2023.02.005,36882134,PMC10807493,2023,Journal of the American College of Cardiology,NCATS,NHLBI,VERIFIED,VERIFIED,dd92afe05a4103260ed422f37f791f4e,b13f3d1415e5e19fe2918e3d24048ea3,Cluster-Randomized Trial Comparing Ambulatory Decision Support Tools to Improve Heart Failure Care.
