dropped_at,paper_id,source_row,citation_raw,cite_key,pdf_moved_to,extracted_text_moved_to,reason
2026-08-17T16:56:32+00:00,PQNBSQLX,105,Mukhopadhyay et al.,mukhopadhyayClusterRandomizedTrialComparing2023,data\removed_pdfs\nhlbi_unreviewed\PQNBSQLX.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\PQNBSQLX.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,8EIXU8CQ,135,Seguin-Fowler et al.,seguin-fowlerImprovementsMaintenanceClinical2022,data\removed_pdfs\nhlbi_unreviewed\8EIXU8CQ.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\8EIXU8CQ.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,9QH3NF2M,136,Semitala et al.,semitalaComparison3Optimized2024,data\removed_pdfs\nhlbi_unreviewed\9QH3NF2M.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\9QH3NF2M.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,YHKIB4RS,137,Semler et al.,semlerOxygenSaturationTargetsCritically2022,data\removed_pdfs\nhlbi_unreviewed\YHKIB4RS.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\YHKIB4RS.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,XW5VH2RS,138,Shi et al.,shiSolvingInsomniaElectronically2019,data\removed_pdfs\nhlbi_unreviewed\XW5VH2RS.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\XW5VH2RS.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,GZ8L53HZ,139,Silber et al.,silberPatientSafetyOutcomes2019,data\removed_pdfs\nhlbi_unreviewed\GZ8L53HZ.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\GZ8L53HZ.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,ML5BF6U5,140,Smith et al.,smithCommunityInterventionReduce2025,data\removed_pdfs\nhlbi_unreviewed\ML5BF6U5.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\ML5BF6U5.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,VUUKHBPX,141,Sobers et al.,sobersAssessingEffectivenessImplementation2021,data\removed_pdfs\nhlbi_unreviewed\VUUKHBPX.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\VUUKHBPX.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,67EE29T7,142,Sperl-Hillen et al.,sperl-hillenProtocolPatientRandomized2024,data\removed_pdfs\nhlbi_unreviewed\67EE29T7.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\67EE29T7.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,HMVQGBWN,143,Stefan et al.,stefanUpdateStudyProtocol2021,data\removed_pdfs\nhlbi_unreviewed\HMVQGBWN.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\HMVQGBWN.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
2026-08-17T16:56:32+00:00,G78NBYUH,144,Tabak et al.,tabakDisseminatingImplementingLifestylebased2019,data\removed_pdfs\nhlbi_unreviewed\G78NBYUH.pdf,data\removed_pdfs\nhlbi_unreviewed\extracted_text\G78NBYUH.json,cited in the NHLBI extraction table but never reviewed; the institute's review will not resume for outstanding papers
