dropped_at,paper_id,exclusion_reason,source_institute,source_row,citation_raw,pdf_moved_to,extracted_text_moved_to,reason
2026-08-26T02:10:10+00:00,QHUGZ86T,duplicate_group_random_drop,NCI,6,"6. (Asfar et al., 2021)",data\removed_pdfs\nonjudgeable_exclusions\QHUGZ86T.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\QHUGZ86T.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,LCAG76F4,duplicate_group_random_drop,NCI,62,"62. (Foley et al., 2023)",data\removed_pdfs\nonjudgeable_exclusions\LCAG76F4.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\LCAG76F4.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,I47BDCKU,duplicate_group_random_drop,NCI,69,"69. (Gilkey et al., 2022)",data\removed_pdfs\nonjudgeable_exclusions\I47BDCKU.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\I47BDCKU.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,DPPC94XT,duplicate_group_random_drop,NCI,105,"105. (King et al., 2021)",data\removed_pdfs\nonjudgeable_exclusions\DPPC94XT.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\DPPC94XT.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,JMLTZFI8,duplicate_group_random_drop,NCI,117,"117. (Leone et al., 2019)",data\removed_pdfs\nonjudgeable_exclusions\JMLTZFI8.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\JMLTZFI8.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,QGRTXZZH,duplicate_group_random_drop,NCI,131,"131. (Ma et al., 2018)",data\removed_pdfs\nonjudgeable_exclusions\QGRTXZZH.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\QGRTXZZH.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,DEKG3YAI,duplicate_group_random_drop,NCI,162,"162. (Paskett et al., 2018)",data\removed_pdfs\nonjudgeable_exclusions\DEKG3YAI.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\DEKG3YAI.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,URKTMCIE,duplicate_group_random_drop,NCI,163,"163. (Paskett et al., 2023)",data\removed_pdfs\nonjudgeable_exclusions\URKTMCIE.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\URKTMCIE.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,DJE2PNQA,duplicate_group_random_drop,NCI,164,"164. (Paskett et al., 2021)",data\removed_pdfs\nonjudgeable_exclusions\DJE2PNQA.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\DJE2PNQA.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,NQZZPYI4,duplicate_group_random_drop,NCI,166,"166. (Patten, Lando, Desnoyers, Klejka, et al., 2020)",data\removed_pdfs\nonjudgeable_exclusions\NQZZPYI4.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\NQZZPYI4.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,Z236TJTT,duplicate_group_random_drop,NCI,167,"167. (Patten, Lando, Desnoyers, Bock, et al., 2020)",data\removed_pdfs\nonjudgeable_exclusions\Z236TJTT.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\Z236TJTT.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,GISQ3U2U,duplicate_group_random_drop,NCI,179,"179. (Risica et al., 2018)",data\removed_pdfs\nonjudgeable_exclusions\GISQ3U2U.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\GISQ3U2U.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,9JP85XCL,duplicate_group_random_drop,NCI,207,"207. (Sutfin et al., 2024)",data\removed_pdfs\nonjudgeable_exclusions\9JP85XCL.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\9JP85XCL.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,J72RMLRJ,duplicate_group_random_drop,NHLBI,6,Aifah et al.,data\removed_pdfs\nonjudgeable_exclusions\J72RMLRJ.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\J72RMLRJ.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,FUCS56UM,duplicate_group_random_drop,NHLBI,31,Cox et al.,data\removed_pdfs\nonjudgeable_exclusions\FUCS56UM.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\FUCS56UM.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,4NV8FP3G,duplicate_group_random_drop,NHLBI,35,Davis et al.,data\removed_pdfs\nonjudgeable_exclusions\4NV8FP3G.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\4NV8FP3G.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,R4ZI2TKH,duplicate_group_random_drop,NHLBI,103,Moreno et al.,data\removed_pdfs\nonjudgeable_exclusions\R4ZI2TKH.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\R4ZI2TKH.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,L3XSIHDW,duplicate_group_random_drop,NHLBI,106,Mukhopadhyay et al.,data\removed_pdfs\nonjudgeable_exclusions\L3XSIHDW.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\L3XSIHDW.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,NBAQH3Y3,duplicate_group_random_drop,NHLBI,127,Robinson et al.,data\removed_pdfs\nonjudgeable_exclusions\NBAQH3Y3.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\NBAQH3Y3.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,GV6RHLHV,duplicate_group_random_drop,NHLBI,130,Sabo et al.,data\removed_pdfs\nonjudgeable_exclusions\GV6RHLHV.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\GV6RHLHV.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,X7YLMXWH,protocol_paper,NHLBI,67,"Adams, Marc A (2019)",data\removed_pdfs\nonjudgeable_exclusions\X7YLMXWH.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\X7YLMXWH.json,"excluded because the trial's outcomes paper exists elsewhere in the set -- a cross-paper judgment; promptbook E12 forbids it, the model judges the paper alone"
2026-08-26T02:10:10+00:00,EBNIKQJT,protocol_paper,NHLBI,68,"Catley, Delwyn (2019)",data\removed_pdfs\nonjudgeable_exclusions\EBNIKQJT.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\EBNIKQJT.json,"excluded because the trial's outcomes paper exists elsewhere in the set -- a cross-paper judgment; promptbook E12 forbids it, the model judges the paper alone"
2026-08-26T02:10:10+00:00,G53UN529,protocol_paper,NHLBI,69,"Cooper, Lisa A (2020)",data\removed_pdfs\nonjudgeable_exclusions\G53UN529.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\G53UN529.json,"excluded because the trial's outcomes paper exists elsewhere in the set -- a cross-paper judgment; promptbook E12 forbids it, the model judges the paper alone"
2026-08-26T02:10:10+00:00,HQYY8IVG,protocol_paper,NHLBI,70,"Hennink-Kaminski, Heidi (2018)",data\removed_pdfs\nonjudgeable_exclusions\HQYY8IVG.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\HQYY8IVG.json,"excluded because the trial's outcomes paper exists elsewhere in the set -- a cross-paper judgment; promptbook E12 forbids it, the model judges the paper alone"
2026-08-26T02:10:10+00:00,9G96XQ7M,protocol_paper,NHLBI,71,"Jeemon, Panniyammakal (2021)",data\removed_pdfs\nonjudgeable_exclusions\9G96XQ7M.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\9G96XQ7M.json,"excluded because the trial's outcomes paper exists elsewhere in the set -- a cross-paper judgment; promptbook E12 forbids it, the model judges the paper alone"
2026-08-26T02:10:10+00:00,8JZS4D8F,protocol_paper,NHLBI,72,"Pbert, Lori (2021)",data\removed_pdfs\nonjudgeable_exclusions\8JZS4D8F.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\8JZS4D8F.json,"excluded because the trial's outcomes paper exists elsewhere in the set -- a cross-paper judgment; promptbook E12 forbids it, the model judges the paper alone"
2026-08-26T02:10:10+00:00,YKCJ78UM,protocol_paper,NHLBI,73,"Reza, Tania F (2020)",data\removed_pdfs\nonjudgeable_exclusions\YKCJ78UM.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\YKCJ78UM.json,"excluded because the trial's outcomes paper exists elsewhere in the set -- a cross-paper judgment; promptbook E12 forbids it, the model judges the paper alone"
2026-08-26T02:10:10+00:00,5XNKT7KH,protocol_paper,NHLBI,74,"Risica, Patricia Markham (2019)",data\removed_pdfs\nonjudgeable_exclusions\5XNKT7KH.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\5XNKT7KH.json,"excluded because the trial's outcomes paper exists elsewhere in the set -- a cross-paper judgment; promptbook E12 forbids it, the model judges the paper alone"
2026-08-26T02:10:10+00:00,TY62B2MZ,protocol_paper,NHLBI,75,"Shea, Judy A (2018)",data\removed_pdfs\nonjudgeable_exclusions\TY62B2MZ.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\TY62B2MZ.json,"excluded because the trial's outcomes paper exists elsewhere in the set -- a cross-paper judgment; promptbook E12 forbids it, the model judges the paper alone"
2026-08-26T02:10:10+00:00,5LPG6NIV,duplicate_group_random_drop,NHLBI,167,"Choudhry, Niteesh K (2018)",data\removed_pdfs\nonjudgeable_exclusions\5LPG6NIV.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\5LPG6NIV.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,PZYLIX7V,duplicate_group_random_drop,NHLBI,168,"Choudhry, Niteesh K (2022)",data\removed_pdfs\nonjudgeable_exclusions\PZYLIX7V.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\PZYLIX7V.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,LTKDUUD2,duplicate_group_random_drop,NHLBI,169,"Douin, David J (2025)",data\removed_pdfs\nonjudgeable_exclusions\LTKDUUD2.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\LTKDUUD2.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,ZYMG88D6,duplicate_group_random_drop,NHLBI,170,"Kondal, Dimple (2022)",data\removed_pdfs\nonjudgeable_exclusions\ZYMG88D6.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\ZYMG88D6.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,G32FILRQ,duplicate_group_random_drop,NHLBI,171,"Mart, Matthew F (2022)",data\removed_pdfs\nonjudgeable_exclusions\G32FILRQ.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\G32FILRQ.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
2026-08-26T02:10:10+00:00,NESLQUNP,duplicate_group_random_drop,NHLBI,172,"Semler, Matthew W (2018)",data\removed_pdfs\nonjudgeable_exclusions\NESLQUNP.pdf,data\removed_pdfs\nonjudgeable_exclusions\extracted_text\NESLQUNP.json,excluded by a random coin flip among same-first-author papers (Ignore02 `randuni`) -- unreproducible from text; promptbook E17 forbids it
